TimeStamp,ECG Data,GSR Data
0,507,1023
1,510,1023
2,511,1023
3,510,1023
4,510,1023
5,510,1023
6,510,1023
7,510,1023
8,509,1023
9,509,1023
10,510,1023
11,510,1023
12,510,1023
13,510,1023
14,509,1023
15,509,1023
16,509,1023
17,509,1023
18,509,1023
19,509,1023
20,509,1023
21,509,1023
22,509,1023
23,510,1023
24,509,1023
25,509,1023
26,509,1023
27,510,1023
28,509,1023
29,509,1023
30,509,1023
31,508,1023
32,509,1023
33,509,1023
34,509,1023
35,509,1023
36,509,1023
37,509,1023
38,509,1023
39,509,1023
40,509,1023
41,509,1023
42,509,1023
43,509,1023
44,509,1023
45,508,1023
46,508,1023
47,509,1023
48,508,1023
49,508,1023
50,509,1023
51,509,1023
52,509,1023
53,509,1023
54,509,1023
55,509,1023
56,509,1023
57,510,1023
58,509,1023
59,509,1023
60,509,1023
61,509,1023
62,509,1023
63,509,1023
64,509,1023
65,508,1023
66,508,1023
67,509,1023
68,509,1023
69,509,1023
70,509,1023
71,509,1023
72,509,1023
73,508,1023
74,509,1023
75,509,1023
76,509,1023
77,509,1023
78,508,1023
79,509,1023
80,509,1023
81,509,1023
82,509,1023
83,509,1023
84,509,1023
85,510,1023
86,509,1023
87,510,1023
88,510,1023
89,510,1023
90,509,1023
91,509,1023
92,509,1023
93,509,1023
94,509,1023
95,509,1023
96,509,1023
97,509,1023
98,509,1023
99,510,1023
100,510,1023
101,509,1023
102,509,1023
103,509,1023
104,510,1023
105,509,1023
106,509,1023
107,509,1023
108,509,1023
109,509,1023
110,510,1023
111,510,1023
112,510,1023
113,510,1023
114,509,1023
115,509,1023
116,510,1023
117,509,1023
118,509,1023
119,509,1023
120,510,1023
121,509,1023
122,510,1023
123,510,1023
124,510,1023
125,509,1023
126,509,1023
127,509,1023
128,509,1023
129,509,1023
130,509,1023
131,509,1023
132,509,1023
133,510,1023
134,509,1023
135,509,1023
136,509,1023
137,509,1023
138,509,1023
139,509,1023
140,509,1023
141,509,1023
142,509,1023
143,510,1023
144,509,1023
145,510,1023
146,510,1023
147,510,1023
148,509,1023
149,509,1023
150,509,1023
151,509,1023
152,509,1023
153,510,1023
154,510,1023
155,510,1023
156,510,1023
157,510,1023
158,510,1023
159,509,1023
160,509,1023
161,510,1023
162,510,1023
163,510,1023
164,509,1023
165,510,1023
166,510,1023
167,509,1023
168,509,1023
169,509,1023
170,509,1023
171,509,1023
172,510,1023
173,510,1023
174,509,1023
175,510,1023
176,510,1023
177,510,1023
178,510,1023
179,509,1023
180,509,1023
181,509,1023
182,509,1023
183,510,1023
184,509,1023
185,509,1023
186,509,1023
187,509,1023
188,510,1023
189,510,1023
190,510,1023
191,509,1023
192,510,1023
193,510,1023
194,509,1023
195,510,1023
196,509,1023
197,509,1023
198,509,1023
199,509,1023
200,510,1023
201,510,1023
202,510,1023
203,510,1023
204,509,1023
205,509,1023
206,510,1023
207,510,1023
208,510,1023
209,510,1023
210,509,1023
211,510,1023
212,510,1023
213,510,1023
214,510,1023
215,509,1023
216,510,1023
217,510,1023
218,510,1023
219,510,1023
220,510,1023
221,509,1023
222,509,1023
223,509,1023
224,509,1023
225,509,1023
226,509,1023
227,509,1023
228,509,1023
229,509,1023
230,509,1023
231,510,1023
232,510,1023
233,510,1023
234,510,1023
235,509,1023
236,510,1023
237,510,1023
238,509,1023
239,510,1023
240,509,1023
241,510,1023
242,509,1023
243,509,1023
244,510,1023
245,509,1023
246,509,1023
247,509,1023
248,510,1023
249,509,1023
250,509,1023
251,510,1023
252,510,1023
253,510,1023
254,510,1023
255,510,1023
256,510,1023
257,509,1023
258,509,1023
259,509,1023
260,509,1023
261,510,1023
262,509,1023
263,510,1023
264,510,1023
265,510,1023
266,510,1023
267,509,1023
268,510,1023
269,509,1023
270,510,1023
271,510,1023
272,509,1023
273,509,1023
274,510,1023
275,510,1023
276,510,1023
277,509,1023
278,510,1023
279,509,1023
280,509,1023
281,509,1023
282,509,1023
283,510,1023
284,510,1023
285,509,1023
286,509,1023
287,510,1023
288,510,1023
289,510,1023
290,509,1023
291,509,1023
292,509,1023
293,509,1023
294,509,1023
295,510,1023
296,509,1023
297,509,1023
298,509,1023
299,509,1023
300,509,1023
301,509,1023
302,508,1023
303,509,1023
304,509,1023
305,509,1023
306,509,1023
307,509,1023
308,509,1023
309,509,1023
310,509,1023
311,509,1023
312,509,1023
313,509,1023
314,508,1023
315,509,1023
316,509,1023
317,509,1023
318,509,1023
319,510,1023
320,510,1023
321,510,1023
322,510,1023
323,509,1023
324,509,1023
325,509,1023
326,509,1023
327,509,1023
328,509,1023
329,509,1023
330,509,1023
331,509,1023
332,508,1023
333,508,1023
334,509,1023
335,509,1023
336,509,1023
337,509,1023
338,509,1023
339,509,1023
340,509,1023
341,510,1023
342,509,1023
343,509,1023
344,509,1023
345,510,1023
346,509,1023
347,509,1023
348,509,1023
349,509,1023
350,509,1023
351,510,1023
352,510,1023
353,509,1023
354,509,1023
355,510,1023
356,509,1023
357,509,1023
358,509,1023
359,510,1023
360,509,1023
361,509,1023
362,509,1023
363,509,1023
364,509,1023
365,509,1023
366,509,1023
367,508,1023
368,508,1023
369,509,1023
370,509,1023
371,509,1023
372,509,1023
373,509,1023
374,509,1023
375,509,1023
376,509,1023
377,509,1023
378,509,1023
379,509,1023
380,510,1023
381,509,1023
382,509,1023
383,509,1023
384,509,1023
385,509,1023
386,509,1023
387,509,1023
388,509,1023
389,509,1023
390,509,1023
391,509,1023
392,509,1023
393,509,1023
394,509,1023
395,509,1023
396,509,1023
397,509,1023
398,509,1023
399,509,1023
400,509,1023
401,510,1023
402,510,1023
403,510,1023
404,510,1023
405,509,1023
406,510,1023
407,509,1023
408,509,1023
409,509,1023
410,508,1023
411,509,1023
412,509,1023
413,509,1023
414,509,1023
415,509,1023
416,509,1023
417,509,1023
418,509,1023
419,509,1023
420,509,1023
421,509,1023
422,509,1023
423,509,1023
424,509,1023
425,509,1023
426,509,1023
427,508,1023
428,509,1023
429,509,1023
430,509,1023
431,508,1023
432,509,1023
433,509,1023
434,509,1023
435,509,1023
436,509,1023
437,508,1023
438,509,1023
439,509,1023
440,509,1023
441,509,1023
442,509,1023
443,509,1023
444,509,1023
