TimeStamp,ECG Data,GSR Data
0,502,1023
1,505,1023
2,506,1023
3,505,1023
4,506,1023
5,505,1023
6,506,1023
7,505,1023
8,507,1023
9,505,1023
10,506,1023
11,503,1023
12,504,1023
13,503,1023
14,504,1023
15,503,1023
16,506,1023
17,505,1023
18,507,1023
19,507,1023
20,508,1023
21,507,1023
22,509,1023
23,507,1023
24,508,1023
25,507,1023
26,508,1023
27,507,1023
28,506,1023
29,507,1023
30,505,1023
31,506,1023
32,503,1023
33,505,1023
34,503,1023
35,506,1023
36,505,1023
37,508,1023
38,507,1023
39,510,1023
40,507,1023
41,510,1023
42,508,1023
43,510,1023
44,509,1023
45,510,1023
46,510,1023
47,511,1023
48,511,1023
49,513,1023
50,514,1023
51,514,1023
52,516,1023
53,516,1023
54,516,1023
55,515,1023
56,516,1023
57,514,1023
58,514,1023
59,510,1023
60,510,1023
61,506,1023
62,507,1023
63,503,1023
64,506,1023
65,504,1023
66,505,1023
67,503,1023
68,506,1023
69,504,1023
70,506,1023
71,505,1023
72,506,1023
73,506,1023
74,507,1023
75,508,1023
76,508,1023
77,509,1023
78,509,1023
79,510,1023
80,508,1023
81,509,1023
82,508,1023
83,510,1023
84,507,1023
85,509,1023
86,507,1023
87,509,1023
88,506,1023
89,508,1023
90,506,1023
91,508,1023
92,506,1023
93,507,1023
94,506,1023
95,507,1023
96,506,1023
97,507,1023
98,507,1023
99,507,1023
100,508,1023
101,507,1023
102,508,1023
103,507,1023
104,508,1023
105,507,1023
106,508,1023
107,507,1023
108,509,1023
109,507,1023
110,509,1023
111,508,1023
112,509,1023
113,507,1023
114,509,1023
115,507,1023
116,509,1023
117,507,1023
118,508,1023
119,507,1023
120,507,1023
121,507,1023
122,507,1023
123,507,1023
124,507,1023
125,507,1023
126,506,1023
127,507,1023
128,506,1023
129,508,1023
130,507,1023
131,510,1023
132,507,1023
133,510,1023
134,508,1023
135,510,1023
136,509,1023
137,511,1023
138,508,1023
139,511,1023
140,508,1023
141,510,1023
142,508,1023
143,510,1023
144,509,1023
145,510,1023
146,509,1023
147,509,1023
148,508,1023
149,508,1023
150,508,1023
151,508,1023
152,509,1023
153,507,1023
154,509,1023
155,507,1023
156,508,1023
157,506,1023
158,508,1023
159,506,1023
160,508,1023
161,506,1023
162,508,1023
163,506,1023
164,509,1023
165,507,1023
166,508,1023
167,508,1023
168,509,1023
169,508,1023
170,509,1023
171,508,1023
172,509,1023
173,510,1023
174,510,1023
175,510,1023
176,510,1023
177,510,1023
178,509,1023
179,511,1023
180,509,1023
181,511,1023
182,508,1023
183,511,1023
184,508,1023
185,510,1023
186,508,1023
187,510,1023
188,508,1023
189,510,1023
190,508,1023
191,510,1023
192,508,1023
193,509,1023
194,509,1023
195,510,1023
196,509,1023
197,511,1023
198,510,1023
199,510,1023
200,511,1023
201,510,1023
202,511,1023
203,510,1023
204,511,1023
205,509,1023
206,511,1023
207,509,1023
208,511,1023
209,508,1023
210,511,1023
211,509,1023
212,510,1023
213,508,1023
214,510,1023
215,508,1023
216,510,1023
217,509,1023
218,510,1023
219,509,1023
220,510,1023
221,509,1023
222,509,1023
223,509,1023
224,509,1023
225,509,1023
226,509,1023
227,510,1023
228,509,1023
229,511,1023
230,509,1023
231,511,1023
232,509,1023
233,511,1023
234,509,1023
235,511,1023
236,510,1023
237,511,1023
238,509,1023
239,511,1023
240,510,1023
241,511,1023
242,510,1023
243,510,1023
244,509,1023
245,510,1023
246,510,1023
247,510,1023
248,510,1023
249,509,1023
250,510,1023
251,509,1023
252,510,1023
253,508,1023
254,510,1023
255,508,1023
256,510,1023
257,508,1023
258,511,1023
259,508,1023
260,510,1023
261,508,1023
262,510,1023
263,508,1023
264,510,1023
265,508,1023
266,509,1023
267,508,1023
268,508,1023
269,506,1023
270,506,1023
271,504,1023
272,502,1023
273,500,1023
274,497,1023
275,495,1023
276,490,1023
277,486,1023
278,479,1023
279,473,1023
280,463,1023
281,458,1023
282,450,1023
283,445,1023
284,435,1023
285,430,1023
286,422,1023
287,420,1023
288,417,1023
289,419,1023
290,424,1023
291,442,1023
292,463,1023
293,483,1023
294,493,1023
295,502,1023
296,510,1023
297,517,1023
298,525,1023
299,530,1023
300,538,1023
301,542,1023
302,548,1023
303,550,1023
304,555,1023
305,555,1023
306,560,1023
307,559,1023
308,564,1023
309,564,1023
310,567,1023
311,564,1023
312,565,1023
313,563,1023
314,563,1023
315,559,1023
316,559,1023
317,556,1023
318,555,1023
319,553,1023
320,551,1023
321,550,1023
322,548,1023
323,548,1023
324,545,1023
325,545,1023
326,543,1023
327,544,1023
328,542,1023
329,544,1023
330,541,1023
331,543,1023
332,541,1023
333,542,1023
334,540,1023
335,543,1023
336,541,1023
337,543,1023
338,541,1023
339,542,1023
340,540,1023
341,541,1023
342,540,1023
343,540,1023
344,539,1023
345,539,1023
346,539,1023
347,538,1023
348,538,1023
349,537,1023
350,537,1023
351,534,1023
352,535,1023
353,533,1023
354,534,1023
355,531,1023
356,533,1023
357,530,1023
358,531,1023
359,527,1023
