TimeStamp,ECG Data,EMG Data,EDA Data,label
0,509,510,452.0,1
1,511,507,456.0,1
2,512,511,451.0,1
3,512,508,457.0,1
4,512,510,449.0,1
5,512,510,457.0,1
6,511,508,448.0,1
7,511,511,456.0,1
8,510,508,447.0,1
9,511,513,454.0,1
10,510,507,447.0,1
11,511,514,452.0,1
12,510,507,446.0,1
13,511,515,449.0,1
14,509,506,446.0,1
15,511,513,447.0,1
16,510,506,447.0,1
17,511,512,446.0,1
18,510,506,449.0,1
19,511,511,445.0,1
20,510,507,451.0,1
21,511,510,444.0,1
22,510,509,451.0,1
23,510,509,444.0,1
24,510,511,452.0,1
25,510,508,443.0,1
26,510,513,451.0,1
27,509,507,443.0,1
28,511,514,449.0,1
29,509,506,443.0,1
30,511,514,447.0,1
31,509,506,443.0,1
32,510,514,445.0,1
33,509,505,444.0,1
34,511,512,444.0,1
35,509,505,446.0,1
36,511,511,443.0,1
37,509,506,448.0,1
38,510,510,442.0,1
39,510,508,449.0,1
40,510,508,442.0,1
41,510,509,449.0,1
42,510,507,441.0,1
43,511,511,448.0,1
44,510,507,440.0,1
45,511,513,447.0,1
46,510,507,440.0,1
47,511,514,444.0,1
48,510,505,440.0,1
49,511,514,442.0,1
50,509,506,440.0,1
51,511,513,440.0,1
52,510,506,441.0,1
53,511,512,439.0,1
54,510,507,443.0,1
55,510,510,438.0,1
56,509,508,444.0,1
57,510,509,438.0,1
58,509,509,445.0,1
59,509,508,437.0,1
60,510,510,444.0,1
61,509,507,437.0,1
62,510,512,443.0,1
63,510,506,436.0,1
64,511,514,441.0,1
65,509,506,436.0,1
66,511,514,439.0,1
67,510,506,436.0,1
68,511,513,437.0,1
69,510,506,437.0,1
70,511,512,436.0,1
71,510,506,439.0,1
72,511,510,435.0,1
73,510,507,440.0,1
74,511,509,434.0,1
75,510,508,441.0,1
76,510,508,434.0,1
77,510,510,441.0,1
78,510,507,433.0,1
79,511,512,440.0,1
80,510,506,433.0,1
81,511,513,439.0,1
82,509,506,432.0,1
83,511,514,436.0,1
84,509,506,432.0,1
85,511,514,434.0,1
86,510,506,433.0,1
87,511,513,433.0,1
88,510,506,435.0,1
89,511,511,432.0,1
90,510,507,437.0,1
91,511,510,432.0,1
92,510,508,438.0,1
93,510,509,431.0,1
94,510,510,438.0,1
95,510,508,430.0,1
96,510,511,438.0,1
97,510,506,430.0,1
98,511,513,436.0,1
99,510,506,430.0,1
100,511,514,434.0,1
101,510,506,429.0,1
102,511,514,432.0,1
103,510,506,429.0,1
104,511,513,430.0,1
105,509,505,431.0,1
106,510,511,429.0,1
107,509,506,433.0,1
108,510,510,428.0,1
109,510,508,434.0,1
110,510,509,428.0,1
111,510,510,435.0,1
112,510,508,427.0,1
113,510,512,435.0,1
