TimeStamp,ECG Data,GSR Data,EMG Data,Label
0,554,510,0,0
1,558,513,0,0
2,524,513,0,0
3,544,514,0,0
4,508,513,0,0
5,535,513,0,0
6,501,513,0,0
7,530,512,0,0
8,497,513,0,0
9,528,513,0,0
10,496,513,0,0
11,523,512,0,0
12,497,512,0,0
13,520,512,0,0
14,498,512,0,0
15,517,512,0,0
16,501,512,0,0
17,514,512,0,0
18,504,512,0,0
19,510,512,0,0
20,508,513,0,0
21,507,512,0,0
22,510,512,0,0
23,503,511,0,0
24,516,512,0,0
25,496,512,0,0
26,521,512,0,0
27,493,512,0,0
28,522,512,0,0
29,491,512,0,0
30,523,512,0,0
31,491,512,0,0
32,523,512,0,0
33,491,512,0,0
34,522,512,0,0
35,493,512,0,0
36,520,512,0,0
37,496,512,0,0
38,517,512,0,0
39,498,512,0,0
40,514,511,0,0
41,502,512,0,0
42,511,511,0,0
43,505,512,0,0
44,507,512,0,0
45,508,512,0,0
46,504,512,0,0
47,511,512,0,0
48,499,511,0,0
49,518,512,0,0
50,495,512,0,0
51,522,513,0,0
52,492,512,0,0
53,522,512,0,0
54,491,512,0,0
55,523,512,0,0
56,491,512,0,0
57,523,512,0,0
58,492,512,0,0
59,520,511,0,0
60,494,512,0,0
61,518,512,0,0
62,497,512,0,0
63,516,512,0,0
64,500,512,0,0
65,513,512,0,0
66,503,512,0,0
67,510,512,0,0
68,507,513,0,0
69,506,512,0,0
70,510,513,0,0
71,503,512,0,0
72,514,512,0,0
73,497,512,0,0
74,520,512,0,0
75,493,512,0,0
76,521,512,0,0
77,491,511,0,0
78,522,512,0,0
79,491,512,0,0
80,523,512,0,0
81,491,512,0,0
82,522,513,0,0
83,493,513,0,0
84,521,512,0,0
85,496,513,0,0
86,518,512,0,0
87,498,512,0,0
88,515,512,0,0
89,501,513,0,0
90,512,512,0,0
91,504,512,0,0
92,508,512,0,0
93,508,512,0,0
94,505,512,0,0
95,511,512,0,0
96,500,512,0,0
97,518,512,0,0
98,495,513,0,0
99,522,513,0,0
100,492,512,0,0
101,523,512,0,0
102,491,512,0,0
103,523,512,0,0
104,491,512,0,0
105,523,512,0,0
106,492,512,0,0
107,521,512,0,0
108,494,512,0,0
109,519,512,0,0
110,496,512,0,0
111,516,512,0,0
112,499,512,0,0
113,513,512,0,0
114,503,512,0,0
115,510,512,0,0
116,506,512,0,0
117,506,512,0,0
118,509,512,0,0
119,504,512,0,0
120,514,512,0,0
121,497,512,0,0
122,520,513,0,0
123,493,511,0,0
124,522,513,0,0
125,491,512,0,0
126,523,513,0,0
127,491,512,0,0
128,523,512,0,0
129,491,511,0,0
130,521,511,0,0
131,493,512,0,0
132,520,512,0,0
133,495,512,0,0
134,517,512,0,0
135,497,511,0,0
136,514,511,0,0
137,501,512,0,0
138,511,511,0,0
139,504,512,0,0
140,508,512,0,0
141,508,513,0,0
142,505,512,0,0
143,511,513,0,0
144,501,512,0,0
145,517,513,0,0
146,495,512,0,0
147,521,512,0,0
148,492,512,0,0
149,522,512,0,0
150,492,513,0,0
151,523,513,0,0
152,491,512,0,0
153,523,512,0,0
154,492,512,0,0
155,521,512,0,0
156,494,512,0,0
157,519,512,0,0
158,497,513,0,0
159,516,512,0,0
160,499,512,0,0
161,513,511,0,0
162,502,512,0,0
163,510,512,0,0
164,506,512,0,0
165,506,511,0,0
166,509,512,0,0
167,504,512,0,0
168,514,512,0,0
169,497,512,0,0
170,519,512,0,0
171,493,512,0,0
172,522,512,0,0
173,492,512,0,0
174,522,512,0,0
175,491,512,0,0
176,523,512,0,0
177,491,512,0,0
178,522,512,0,0
179,492,512,0,0
180,520,512,0,0
181,495,512,0,0
182,518,512,0,0
183,497,512,0,0
184,515,512,0,0
185,501,513,0,0
