TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,504,502,747.0,1,0,0,0,0,0,0,0,0,0
1,506,507,746.0,1,0,0,0,0,0,0,0,0,0
2,509,504,746.0,1,0,0,0,0,0,0,0,0,0
3,510,497,746.0,1,0,0,0,0,0,0,0,0,0
4,511,496,746.0,1,0,0,0,0,0,0,0,0,0
5,511,506,746.0,1,0,0,0,0,0,0,0,0,0
6,512,511,746.0,1,0,0,0,0,0,0,0,0,0
7,512,516,746.0,1,0,0,0,0,0,0,0,0,0
8,513,517,746.0,1,0,0,0,0,0,0,0,0,0
9,514,509,746.0,1,0,0,0,0,0,0,0,0,0
10,515,505,745.0,1,0,0,0,0,0,0,0,0,0
11,515,510,745.0,1,0,0,0,0,0,0,0,0,0
12,515,509,745.0,1,0,0,0,0,0,0,0,0,0
13,517,503,745.0,1,0,0,0,0,0,0,0,0,0
14,518,499,745.0,1,0,0,0,0,0,0,0,0,0
15,520,498,745.0,1,0,0,0,0,0,0,0,0,0
16,521,509,745.0,1,0,0,0,0,0,0,0,0,0
17,522,505,745.0,1,0,0,0,0,0,0,0,0,0
18,524,494,745.0,1,0,0,0,0,0,0,0,0,0
19,527,504,744.0,1,0,0,0,0,0,0,0,0,0
20,529,508,744.0,1,0,0,0,0,0,0,0,0,0
21,530,507,744.0,1,0,0,0,0,0,0,0,0,0
22,531,503,744.0,1,0,0,0,0,0,0,0,0,0
23,534,495,744.0,1,0,0,0,0,0,0,0,0,0
24,536,502,744.0,1,0,0,0,0,0,0,0,0,0
25,537,507,744.0,1,0,0,0,0,0,0,0,0,0
26,538,504,744.0,1,0,0,0,0,0,0,0,0,0
27,540,501,744.0,1,0,0,0,0,0,0,0,0,0
28,541,500,744.0,1,0,0,0,0,0,0,0,0,0
29,542,497,744.0,1,0,0,0,0,0,0,0,0,0
30,543,498,743.0,1,0,0,0,0,0,0,0,0,0
31,543,502,743.0,1,0,0,0,0,0,0,0,0,0
32,542,503,743.0,1,0,0,0,0,0,0,0,0,0
33,541,500,743.0,1,0,0,0,0,0,0,0,0,0
34,539,487,743.0,1,0,0,0,0,0,0,0,0,0
35,537,508,743.0,1,0,0,0,0,0,0,0,0,0
36,536,513,743.0,1,0,0,0,0,0,0,0,0,0
37,533,506,743.0,1,0,0,0,0,0,0,0,0,0
38,529,510,743.0,1,0,0,0,0,0,0,0,0,0
39,524,507,743.0,1,0,0,0,0,0,0,0,0,0
40,518,502,743.0,1,0,0,0,0,0,0,0,0,0
41,511,514,743.0,1,0,0,0,0,0,0,0,0,0
