TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,476,508,814.0,1,0,0,0,0,0,0,0,0,0
1,477,509,813.0,1,0,0,0,0,0,0,0,0,0
2,478,509,813.0,1,0,0,0,0,0,0,0,0,0
3,480,510,813.0,1,0,0,0,0,0,0,0,0,0
4,481,510,813.0,1,0,0,0,0,0,0,0,0,0
5,482,511,812.0,1,0,0,0,0,0,0,0,0,0
6,484,510,812.0,1,0,0,0,0,0,0,0,0,0
7,485,509,812.0,1,0,0,0,0,0,0,0,0,0
8,486,509,812.0,1,0,0,0,0,0,0,0,0,0
9,487,510,812.0,1,0,0,0,0,0,0,0,0,0
10,489,510,811.0,1,0,0,0,0,0,0,0,0,0
11,490,510,811.0,1,0,0,0,0,0,0,0,0,0
12,491,510,811.0,1,0,0,0,0,0,0,0,0,0
13,492,509,811.0,1,0,0,0,0,0,0,0,0,0
14,494,509,810.0,1,0,0,0,0,0,0,0,0,0
15,495,510,810.0,1,0,0,0,0,0,0,0,0,0
16,497,510,810.0,1,0,0,0,0,0,0,0,0,0
17,498,509,810.0,1,0,0,0,0,0,0,0,0,0
18,499,509,810.0,1,0,0,0,0,0,0,0,0,0
19,500,509,809.0,1,0,0,0,0,0,0,0,0,0
20,501,508,809.0,1,0,0,0,0,0,0,0,0,0
21,502,508,809.0,1,0,0,0,0,0,0,0,0,0
22,504,508,809.0,1,0,0,0,0,0,0,0,0,0
23,505,509,809.0,1,0,0,0,0,0,0,0,0,0
24,506,508,808.0,1,0,0,0,0,0,0,0,0,0
25,507,507,808.0,1,0,0,0,0,0,0,0,0,0
26,508,507,808.0,1,0,0,0,0,0,0,0,0,0
27,509,508,808.0,1,0,0,0,0,0,0,0,0,0
28,510,509,808.0,1,0,0,0,0,0,0,0,0,0
29,510,508,808.0,1,0,0,0,0,0,0,0,0,0
30,511,508,807.0,1,0,0,0,0,0,0,0,0,0
31,512,508,807.0,1,0,0,0,0,0,0,0,0,0
32,514,508,807.0,1,0,0,0,0,0,0,0,0,0
33,515,508,807.0,1,0,0,0,0,0,0,0,0,0
34,515,507,807.0,1,0,0,0,0,0,0,0,0,0
35,516,507,807.0,1,0,0,0,0,0,0,0,0,0
36,516,506,807.0,1,0,0,0,0,0,0,0,0,0
37,517,505,807.0,1,0,0,0,0,0,0,0,0,0
38,518,505,807.0,1,0,0,0,0,0,0,0,0,0
39,519,506,806.0,1,0,0,0,0,0,0,0,0,0
40,520,506,806.0,1,0,0,0,0,0,0,0,0,0
41,522,506,806.0,1,0,0,0,0,0,0,0,0,0
42,523,505,806.0,1,0,0,0,0,0,0,0,0,0
43,525,504,806.0,1,0,0,0,0,0,0,0,0,0
44,527,505,806.0,1,0,0,0,0,0,0,0,0,0
45,528,504,806.0,1,0,0,0,0,0,0,0,0,0
46,529,504,806.0,1,0,0,0,0,0,0,0,0,0
47,530,506,806.0,1,0,0,0,0,0,0,0,0,0
48,530,505,806.0,1,0,0,0,0,0,0,0,0,0
49,532,503,806.0,1,0,0,0,0,0,0,0,0,0
50,534,503,805.0,1,0,0,0,0,0,0,0,0,0
51,535,502,805.0,1,0,0,0,0,0,0,0,0,0
52,536,502,806.0,1,0,0,0,0,0,0,0,0,0
53,537,502,805.0,1,0,0,0,0,0,0,0,0,0
54,536,503,805.0,1,0,0,0,0,0,0,0,0,0
55,536,502,805.0,1,0,0,0,0,0,0,0,0,0
56,536,503,805.0,1,0,0,0,0,0,0,0,0,0
57,536,504,805.0,1,0,0,0,0,0,0,0,0,0
58,535,505,805.0,1,0,0,0,0,0,0,0,0,0
59,534,505,805.0,1,0,0,0,0,0,0,0,0,0
60,533,505,805.0,1,0,0,0,0,0,0,0,0,0
61,531,506,805.0,1,0,0,0,0,0,0,0,0,0
62,527,507,805.0,1,0,0,0,0,0,0,0,0,0
63,523,507,805.0,1,0,0,0,0,0,0,0,0,0
64,519,508,805.0,1,0,0,0,0,0,0,0,0,0
65,514,510,805.0,1,0,0,0,0,0,0,0,0,0
66,508,511,805.0,1,0,0,0,0,0,0,0,0,0
67,503,513,805.0,1,0,0,0,0,0,0,0,0,0
68,498,515,805.0,1,0,0,0,0,0,0,0,0,0
69,494,515,805.0,1,0,0,0,0,0,0,0,0,0
70,489,515,805.0,1,0,0,0,0,0,0,0,0,0
71,486,515,804.0,1,0,0,0,0,0,0,0,0,0
72,483,517,804.0,1,0,0,0,0,0,0,0,0,0
73,481,517,804.0,1,0,0,0,0,0,0,0,0,0
74,480,517,804.0,1,0,0,0,0,0,0,0,0,0
75,479,518,804.0,1,0,0,0,0,0,0,0,0,0
76,479,518,804.0,1,0,0,0,0,0,0,0,0,0
77,478,519,804.0,1,0,0,0,0,0,0,0,0,0
78,479,519,804.0,1,0,0,0,0,0,0,0,0,0
79,480,518,804.0,1,0,0,0,0,0,0,0,0,0
80,480,517,804.0,1,0,0,0,0,0,0,0,0,0
81,482,518,804.0,1,0,0,0,0,0,0,0,0,0
82,483,518,804.0,1,0,0,0,0,0,0,0,0,0
83,484,517,804.0,1,0,0,0,0,0,0,0,0,0
84,485,517,804.0,1,0,0,0,0,0,0,0,0,0
85,486,517,804.0,1,0,0,0,0,0,0,0,0,0
86,487,517,804.0,1,0,0,0,0,0,0,0,0,0
87,489,516,804.0,1,0,0,0,0,0,0,0,0,0
88,490,516,804.0,1,0,0,0,0,0,0,0,0,0
89,491,515,804.0,1,0,0,0,0,0,0,0,0,0
90,492,515,804.0,1,0,0,0,0,0,0,0,0,0
91,493,515,804.0,1,0,0,0,0,0,0,0,0,0
92,494,516,804.0,1,0,0,0,0,0,0,0,0,0
93,495,516,804.0,1,0,0,0,0,0,0,0,0,0
94,496,515,804.0,1,0,0,0,0,0,0,0,0,0
95,497,515,804.0,1,0,0,0,0,0,0,0,0,0
96,498,514,804.0,1,0,0,0,0,0,0,0,0,0
97,498,514,804.0,1,0,0,0,0,0,0,0,0,0
98,499,513,804.0,1,0,0,0,0,0,0,0,0,0
99,499,512,804.0,1,0,0,0,0,0,0,0,0,0
100,500,512,804.0,1,0,0,0,0,0,0,0,0,0
101,501,512,804.0,1,0,0,0,0,0,0,0,0,0
102,502,513,804.0,1,0,0,0,0,0,0,0,0,0
