TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,509,505,777.0,1,0,0,0,0,0,0,0,0,0
1,510,506,776.0,1,0,0,0,0,0,0,0,0,0
2,511,507,776.0,1,0,0,0,0,0,0,0,0,0
3,512,508,776.0,1,0,0,0,0,0,0,0,0,0
4,512,508,776.0,1,0,0,0,0,0,0,0,0,0
5,512,507,775.0,1,0,0,0,0,0,0,0,0,0
6,513,508,775.0,1,0,0,0,0,0,0,0,0,0
7,514,508,775.0,1,0,0,0,0,0,0,0,0,0
8,515,508,775.0,1,0,0,0,0,0,0,0,0,0
9,517,509,775.0,1,0,0,0,0,0,0,0,0,0
10,518,509,774.0,1,0,0,0,0,0,0,0,0,0
11,519,507,774.0,1,0,0,0,0,0,0,0,0,0
12,520,506,774.0,1,0,0,0,0,0,0,0,0,0
13,521,505,774.0,1,0,0,0,0,0,0,0,0,0
14,522,505,774.0,1,0,0,0,0,0,0,0,0,0
15,523,504,773.0,1,0,0,0,0,0,0,0,0,0
16,524,504,773.0,1,0,0,0,0,0,0,0,0,0
17,526,505,773.0,1,0,0,0,0,0,0,0,0,0
18,528,504,773.0,1,0,0,0,0,0,0,0,0,0
19,529,504,772.0,1,0,0,0,0,0,0,0,0,0
20,531,503,772.0,1,0,0,0,0,0,0,0,0,0
21,532,503,772.0,1,0,0,0,0,0,0,0,0,0
22,534,503,772.0,1,0,0,0,0,0,0,0,0,0
23,536,502,772.0,1,0,0,0,0,0,0,0,0,0
24,538,502,772.0,1,0,0,0,0,0,0,0,0,0
25,538,501,772.0,1,0,0,0,0,0,0,0,0,0
26,540,501,771.0,1,0,0,0,0,0,0,0,0,0
27,541,500,771.0,1,0,0,0,0,0,0,0,0,0
28,542,500,771.0,1,0,0,0,0,0,0,0,0,0
29,542,500,771.0,1,0,0,0,0,0,0,0,0,0
30,541,500,771.0,1,0,0,0,0,0,0,0,0,0
31,540,501,771.0,1,0,0,0,0,0,0,0,0,0
32,540,502,771.0,1,0,0,0,0,0,0,0,0,0
33,538,503,771.0,1,0,0,0,0,0,0,0,0,0
34,536,504,770.0,1,0,0,0,0,0,0,0,0,0
35,533,504,770.0,1,0,0,0,0,0,0,0,0,0
36,529,505,770.0,1,0,0,0,0,0,0,0,0,0
37,525,507,770.0,1,0,0,0,0,0,0,0,0,0
38,518,508,770.0,1,0,0,0,0,0,0,0,0,0
39,512,510,770.0,1,0,0,0,0,0,0,0,0,0
40,506,511,770.0,1,0,0,0,0,0,0,0,0,0
41,501,512,770.0,1,0,0,0,0,0,0,0,0,0
42,496,514,770.0,1,0,0,0,0,0,0,0,0,0
43,491,515,770.0,1,0,0,0,0,0,0,0,0,0
44,486,516,769.0,1,0,0,0,0,0,0,0,0,0
45,483,517,769.0,1,0,0,0,0,0,0,0,0,0
46,480,517,769.0,1,0,0,0,0,0,0,0,0,0
47,477,516,769.0,1,0,0,0,0,0,0,0,0,0
48,475,516,769.0,1,0,0,0,0,0,0,0,0,0
49,474,517,769.0,1,0,0,0,0,0,0,0,0,0
50,473,519,769.0,1,0,0,0,0,0,0,0,0,0
51,472,519,769.0,1,0,0,0,0,0,0,0,0,0
52,472,518,769.0,1,0,0,0,0,0,0,0,0,0
53,473,519,769.0,1,0,0,0,0,0,0,0,0,0
54,474,519,769.0,1,0,0,0,0,0,0,0,0,0
55,475,518,769.0,1,0,0,0,0,0,0,0,0,0
56,476,518,769.0,1,0,0,0,0,0,0,0,0,0
57,477,518,769.0,1,0,0,0,0,0,0,0,0,0
58,479,518,769.0,1,0,0,0,0,0,0,0,0,0
59,480,517,769.0,1,0,0,0,0,0,0,0,0,0
60,482,517,768.0,1,0,0,0,0,0,0,0,0,0
