TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,484,507,614.0,1,0,0,0,0,0,0,0,0,0
1,490,508,614.0,1,0,0,0,0,0,0,0,0,0
2,499,508,614.0,1,0,0,0,0,0,0,0,0,0
3,507,506,614.0,1,0,0,0,0,0,0,0,0,0
4,517,505,614.0,1,0,0,0,0,0,0,0,0,0
5,532,504,613.0,1,0,0,0,0,0,0,0,0,0
6,556,501,613.0,1,0,0,0,0,0,0,0,0,0
7,585,498,613.0,1,0,0,0,0,0,0,0,0,0
8,634,496,613.0,1,0,0,0,0,0,0,0,0,0
9,692,496,613.0,1,0,0,0,0,0,0,0,0,0
10,722,497,613.0,1,0,0,0,0,0,0,0,0,0
11,697,500,613.0,1,0,0,0,0,0,0,0,0,0
12,647,508,613.0,1,0,0,0,0,0,0,0,0,0
13,587,516,613.0,1,0,0,0,0,0,0,0,0,0
14,536,520,613.0,1,0,0,0,0,0,0,0,0,0
15,496,522,613.0,1,0,0,0,0,0,0,0,0,0
16,470,520,613.0,1,0,0,0,0,0,0,0,0,0
17,459,519,612.0,1,0,0,0,0,0,0,0,0,0
18,457,517,612.0,1,0,0,0,0,0,0,0,0,0
19,458,515,612.0,1,0,0,0,0,0,0,0,0,0
20,461,513,612.0,1,0,0,0,0,0,0,0,0,0
21,463,512,612.0,1,0,0,0,0,0,0,0,0,0
22,465,512,612.0,1,0,0,0,0,0,0,0,0,0
23,468,512,612.0,1,0,0,0,0,0,0,0,0,0
24,468,513,612.0,1,0,0,0,0,0,0,0,0,0
25,469,513,611.0,1,0,0,0,0,0,0,0,0,0
26,471,512,611.0,1,0,0,0,0,0,0,0,0,0
27,475,511,611.0,1,0,0,0,0,0,0,0,0,0
28,478,511,611.0,1,0,0,0,0,0,0,0,0,0
29,480,512,611.0,1,0,0,0,0,0,0,0,0,0
30,482,512,611.0,1,0,0,0,0,0,0,0,0,0
31,483,512,611.0,1,0,0,0,0,0,0,0,0,0
32,484,510,611.0,1,0,0,0,0,0,0,0,0,0
33,484,507,611.0,1,0,0,0,0,0,0,0,0,0
34,484,506,611.0,1,0,0,0,0,0,0,0,0,0
35,486,507,610.0,1,0,0,0,0,0,0,0,0,0
36,488,508,610.0,1,0,0,0,0,0,0,0,0,0
37,491,508,610.0,1,0,0,0,0,0,0,0,0,0
38,493,509,610.0,1,0,0,0,0,0,0,0,0,0
39,494,509,610.0,1,0,0,0,0,0,0,0,0,0
40,495,508,610.0,1,0,0,0,0,0,0,0,0,0
41,496,507,610.0,1,0,0,0,0,0,0,0,0,0
42,496,506,609.0,1,0,0,0,0,0,0,0,0,0
43,496,505,610.0,1,0,0,0,0,0,0,0,0,0
44,498,505,609.0,1,0,0,0,0,0,0,0,0,0
45,498,505,609.0,1,0,0,0,0,0,0,0,0,0
46,499,506,609.0,1,0,0,0,0,0,0,0,0,0
47,502,506,609.0,1,0,0,0,0,0,0,0,0,0
48,505,506,609.0,1,0,0,0,0,0,0,0,0,0
49,507,506,609.0,1,0,0,0,0,0,0,0,0,0
50,508,506,609.0,1,0,0,0,0,0,0,0,0,0
51,505,506,608.0,1,0,0,0,0,0,0,0,0,0
52,500,505,609.0,1,0,0,0,0,0,0,0,0,0
53,503,505,608.0,1,0,0,0,0,0,0,0,0,0
54,508,506,608.0,1,0,0,0,0,0,0,0,0,0
55,512,507,608.0,1,0,0,0,0,0,0,0,0,0
56,517,510,608.0,1,0,0,0,0,0,0,0,0,0
57,520,508,608.0,1,0,0,0,0,0,0,0,0,0
58,523,506,608.0,1,0,0,0,0,0,0,0,0,0
59,525,506,608.0,1,0,0,0,0,0,0,0,0,0
60,526,506,608.0,1,0,0,0,0,0,0,0,0,0
61,527,507,608.0,1,0,0,0,0,0,0,0,0,0
62,529,507,608.0,1,0,0,0,0,0,0,0,0,0
63,532,503,607.0,1,0,0,0,0,0,0,0,0,0
64,534,501,607.0,1,0,0,0,0,0,0,0,0,0
65,536,500,607.0,1,0,0,0,0,0,0,0,0,0
66,537,499,607.0,1,0,0,0,0,0,0,0,0,0
67,539,498,607.0,1,0,0,0,0,0,0,0,0,0
68,538,499,607.0,1,0,0,0,0,0,0,0,0,0
69,537,500,607.0,1,0,0,0,0,0,0,0,0,0
70,538,499,607.0,1,0,0,0,0,0,0,0,0,0
71,538,501,607.0,1,0,0,0,0,0,0,0,0,0
72,535,502,607.0,1,0,0,0,0,0,0,0,0,0
73,530,502,607.0,1,0,0,0,0,0,0,0,0,0
74,529,502,606.0,1,0,0,0,0,0,0,0,0,0
75,531,504,606.0,1,0,0,0,0,0,0,0,0,0
76,531,506,606.0,1,0,0,0,0,0,0,0,0,0
77,527,507,606.0,1,0,0,0,0,0,0,0,0,0
78,521,507,606.0,1,0,0,0,0,0,0,0,0,0
79,518,507,606.0,1,0,0,0,0,0,0,0,0,0
80,514,509,606.0,1,0,0,0,0,0,0,0,0,0
81,509,511,606.0,1,0,0,0,0,0,0,0,0,0
82,505,511,606.0,1,0,0,0,0,0,0,0,0,0
83,504,510,606.0,1,0,0,0,0,0,0,0,0,0
84,501,511,606.0,1,0,0,0,0,0,0,0,0,0
85,497,513,606.0,1,0,0,0,0,0,0,0,0,0
86,492,513,605.0,1,0,0,0,0,0,0,0,0,0
87,491,515,605.0,1,0,0,0,0,0,0,0,0,0
88,493,516,605.0,1,0,0,0,0,0,0,0,0,0
89,492,517,605.0,1,0,0,0,0,0,0,0,0,0
90,489,518,605.0,1,0,0,0,0,0,0,0,0,0
91,486,517,605.0,1,0,0,0,0,0,0,0,0,0
92,485,515,605.0,1,0,0,0,0,0,0,0,0,0
93,482,514,605.0,1,0,0,0,0,0,0,0,0,0
94,480,513,605.0,1,0,0,0,0,0,0,0,0,0
95,479,514,605.0,1,0,0,0,0,0,0,0,0,0
96,479,516,605.0,1,0,0,0,0,0,0,0,0,0
97,483,517,605.0,1,0,0,0,0,0,0,0,0,0
98,487,516,604.0,1,0,0,0,0,0,0,0,0,0
99,490,516,604.0,1,0,0,0,0,0,0,0,0,0
100,493,514,604.0,1,0,0,0,0,0,0,0,0,0
