TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,614,480,792.0,1,0,0,0,0,0,0,0,0,0
1,594,488,791.0,1,0,0,0,0,0,0,0,0,0
2,569,496,791.0,1,0,0,0,0,0,0,0,0,0
3,543,505,791.0,1,0,0,0,0,0,0,0,0,0
4,520,512,791.0,1,0,0,0,0,0,0,0,0,0
5,502,518,790.0,1,0,0,0,0,0,0,0,0,0
6,488,522,790.0,1,0,0,0,0,0,0,0,0,0
7,480,525,790.0,1,0,0,0,0,0,0,0,0,0
8,473,526,790.0,1,0,0,0,0,0,0,0,0,0
9,468,527,789.0,1,0,0,0,0,0,0,0,0,0
10,471,526,789.0,1,0,0,0,0,0,0,0,0,0
11,476,525,789.0,1,0,0,0,0,0,0,0,0,0
12,479,523,789.0,1,0,0,0,0,0,0,0,0,0
13,481,521,788.0,1,0,0,0,0,0,0,0,0,0
14,482,519,788.0,1,0,0,0,0,0,0,0,0,0
15,482,520,788.0,1,0,0,0,0,0,0,0,0,0
16,482,520,788.0,1,0,0,0,0,0,0,0,0,0
17,483,519,788.0,1,0,0,0,0,0,0,0,0,0
18,485,518,787.0,1,0,0,0,0,0,0,0,0,0
19,486,518,787.0,1,0,0,0,0,0,0,0,0,0
20,489,517,787.0,1,0,0,0,0,0,0,0,0,0
21,497,516,787.0,1,0,0,0,0,0,0,0,0,0
22,500,515,786.0,1,0,0,0,0,0,0,0,0,0
23,499,515,786.0,1,0,0,0,0,0,0,0,0,0
24,495,515,786.0,1,0,0,0,0,0,0,0,0,0
25,492,512,786.0,1,0,0,0,0,0,0,0,0,0
26,490,513,786.0,1,0,0,0,0,0,0,0,0,0
27,487,516,786.0,1,0,0,0,0,0,0,0,0,0
28,486,516,785.0,1,0,0,0,0,0,0,0,0,0
29,487,513,785.0,1,0,0,0,0,0,0,0,0,0
30,489,511,785.0,1,0,0,0,0,0,0,0,0,0
31,493,512,785.0,1,0,0,0,0,0,0,0,0,0
32,496,512,785.0,1,0,0,0,0,0,0,0,0,0
33,497,511,785.0,1,0,0,0,0,0,0,0,0,0
34,497,511,785.0,1,0,0,0,0,0,0,0,0,0
35,497,512,784.0,1,0,0,0,0,0,0,0,0,0
36,498,511,784.0,1,0,0,0,0,0,0,0,0,0
37,500,511,784.0,1,0,0,0,0,0,0,0,0,0
38,502,511,784.0,1,0,0,0,0,0,0,0,0,0
39,503,512,784.0,1,0,0,0,0,0,0,0,0,0
