TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,476,508,624.0,1,0,0,0,0,0,0,0,0,0
1,475,509,624.0,1,0,0,0,0,0,0,0,0,0
2,475,515,624.0,1,0,0,0,0,0,0,0,0,0
3,477,532,624.0,1,0,0,0,0,0,0,0,0,0
4,480,561,624.0,1,0,0,0,0,0,0,0,0,0
5,485,594,623.0,1,0,0,0,0,0,0,0,0,0
6,490,627,623.0,1,0,0,0,0,0,0,0,0,0
7,495,659,623.0,1,0,0,0,0,0,0,0,0,0
8,497,697,623.0,1,0,0,0,0,0,0,0,0,0
9,495,734,623.0,1,0,0,0,0,0,0,0,0,0
10,491,764,623.0,1,0,0,0,0,0,0,0,0,0
11,487,788,622.0,1,0,0,0,0,0,0,0,0,0
12,484,807,622.0,1,0,0,0,0,0,0,0,0,0
13,482,819,622.0,1,0,0,0,0,0,0,0,0,0
14,480,828,622.0,1,0,0,0,0,0,0,0,0,0
15,478,834,622.0,1,0,0,0,0,0,0,0,0,0
16,476,835,622.0,1,0,0,0,0,0,0,0,0,0
17,474,834,622.0,1,0,0,0,0,0,0,0,0,0
18,473,833,621.0,1,0,0,0,0,0,0,0,0,0
19,472,829,621.0,1,0,0,0,0,0,0,0,0,0
20,472,822,621.0,1,0,0,0,0,0,0,0,0,0
21,473,816,621.0,1,0,0,0,0,0,0,0,0,0
22,474,808,621.0,1,0,0,0,0,0,0,0,0,0
23,475,800,621.0,1,0,0,0,0,0,0,0,0,0
24,475,791,621.0,1,0,0,0,0,0,0,0,0,0
25,475,782,620.0,1,0,0,0,0,0,0,0,0,0
26,476,772,620.0,1,0,0,0,0,0,0,0,0,0
27,477,762,620.0,1,0,0,0,0,0,0,0,0,0
28,479,752,620.0,1,0,0,0,0,0,0,0,0,0
29,480,742,620.0,1,0,0,0,0,0,0,0,0,0
30,481,732,620.0,1,0,0,0,0,0,0,0,0,0
31,482,722,620.0,1,0,0,0,0,0,0,0,0,0
32,483,712,620.0,1,0,0,0,0,0,0,0,0,0
33,483,702,620.0,1,0,0,0,0,0,0,0,0,0
34,485,692,619.0,1,0,0,0,0,0,0,0,0,0
35,487,683,620.0,1,0,0,0,0,0,0,0,0,0
36,489,674,619.0,1,0,0,0,0,0,0,0,0,0
37,489,665,619.0,1,0,0,0,0,0,0,0,0,0
38,489,656,619.0,1,0,0,0,0,0,0,0,0,0
39,490,646,619.0,1,0,0,0,0,0,0,0,0,0
40,491,637,619.0,1,0,0,0,0,0,0,0,0,0
41,493,629,619.0,1,0,0,0,0,0,0,0,0,0
42,494,621,619.0,1,0,0,0,0,0,0,0,0,0
43,495,613,619.0,1,0,0,0,0,0,0,0,0,0
44,496,606,619.0,1,0,0,0,0,0,0,0,0,0
45,497,598,619.0,1,0,0,0,0,0,0,0,0,0
46,498,591,618.0,1,0,0,0,0,0,0,0,0,0
47,499,584,618.0,1,0,0,0,0,0,0,0,0,0
48,500,576,618.0,1,0,0,0,0,0,0,0,0,0
49,500,571,618.0,1,0,0,0,0,0,0,0,0,0
50,501,565,618.0,1,0,0,0,0,0,0,0,0,0
51,502,559,618.0,1,0,0,0,0,0,0,0,0,0
52,502,553,618.0,1,0,0,0,0,0,0,0,0,0
53,503,548,618.0,1,0,0,0,0,0,0,0,0,0
54,504,541,618.0,1,0,0,0,0,0,0,0,0,0
55,505,536,618.0,1,0,0,0,0,0,0,0,0,0
56,504,531,618.0,1,0,0,0,0,0,0,0,0,0
57,505,526,618.0,1,0,0,0,0,0,0,0,0,0
58,504,522,618.0,1,0,0,0,0,0,0,0,0,0
