TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,506,514,832.0,1,0,0,0,0,0,0,0,0,0
1,506,515,831.0,1,0,0,0,0,0,0,0,0,0
2,506,518,831.0,1,0,0,0,0,0,0,0,0,0
3,506,520,831.0,1,0,0,0,0,0,0,0,0,0
4,506,521,831.0,1,0,0,0,0,0,0,0,0,0
5,506,523,831.0,1,0,0,0,0,0,0,0,0,0
6,506,524,830.0,1,0,0,0,0,0,0,0,0,0
7,505,524,830.0,1,0,0,0,0,0,0,0,0,0
8,505,524,830.0,1,0,0,0,0,0,0,0,0,0
9,506,523,830.0,1,0,0,0,0,0,0,0,0,0
10,507,523,829.0,1,0,0,0,0,0,0,0,0,0
11,507,524,829.0,1,0,0,0,0,0,0,0,0,0
12,507,524,829.0,1,0,0,0,0,0,0,0,0,0
13,508,522,828.0,1,0,0,0,0,0,0,0,0,0
14,510,521,828.0,1,0,0,0,0,0,0,0,0,0
15,514,519,828.0,1,0,0,0,0,0,0,0,0,0
16,521,517,828.0,1,0,0,0,0,0,0,0,0,0
17,533,512,827.0,1,0,0,0,0,0,0,0,0,0
18,550,503,827.0,1,0,0,0,0,0,0,0,0,0
19,573,492,827.0,1,0,0,0,0,0,0,0,0,0
20,600,480,827.0,1,0,0,0,0,0,0,0,0,0
21,621,472,827.0,1,0,0,0,0,0,0,0,0,0
22,622,472,826.0,1,0,0,0,0,0,0,0,0,0
23,604,481,826.0,1,0,0,0,0,0,0,0,0,0
24,577,494,826.0,1,0,0,0,0,0,0,0,0,0
25,544,508,826.0,1,0,0,0,0,0,0,0,0,0
26,514,519,825.0,1,0,0,0,0,0,0,0,0,0
27,496,524,825.0,1,0,0,0,0,0,0,0,0,0
28,482,527,825.0,1,0,0,0,0,0,0,0,0,0
29,473,528,825.0,1,0,0,0,0,0,0,0,0,0
30,468,526,825.0,1,0,0,0,0,0,0,0,0,0
31,468,525,824.0,1,0,0,0,0,0,0,0,0,0
32,475,522,824.0,1,0,0,0,0,0,0,0,0,0
33,481,519,824.0,1,0,0,0,0,0,0,0,0,0
34,485,519,824.0,1,0,0,0,0,0,0,0,0,0
35,485,517,824.0,1,0,0,0,0,0,0,0,0,0
36,485,517,824.0,1,0,0,0,0,0,0,0,0,0
37,485,516,823.0,1,0,0,0,0,0,0,0,0,0
38,486,516,823.0,1,0,0,0,0,0,0,0,0,0
39,487,515,823.0,1,0,0,0,0,0,0,0,0,0
40,490,516,823.0,1,0,0,0,0,0,0,0,0,0
41,491,516,823.0,1,0,0,0,0,0,0,0,0,0
42,492,515,823.0,1,0,0,0,0,0,0,0,0,0
43,492,514,823.0,1,0,0,0,0,0,0,0,0,0
44,493,512,822.0,1,0,0,0,0,0,0,0,0,0
45,493,512,823.0,1,0,0,0,0,0,0,0,0,0
46,494,511,822.0,1,0,0,0,0,0,0,0,0,0
47,495,511,822.0,1,0,0,0,0,0,0,0,0,0
48,496,511,822.0,1,0,0,0,0,0,0,0,0,0
49,497,511,822.0,1,0,0,0,0,0,0,0,0,0
50,499,512,822.0,1,0,0,0,0,0,0,0,0,0
51,499,512,822.0,1,0,0,0,0,0,0,0,0,0
52,498,513,822.0,1,0,0,0,0,0,0,0,0,0
53,499,512,822.0,1,0,0,0,0,0,0,0,0,0
54,499,511,822.0,1,0,0,0,0,0,0,0,0,0
55,500,511,822.0,1,0,0,0,0,0,0,0,0,0
56,502,509,822.0,1,0,0,0,0,0,0,0,0,0
57,502,509,821.0,1,0,0,0,0,0,0,0,0,0
58,503,509,821.0,1,0,0,0,0,0,0,0,0,0
59,502,508,821.0,1,0,0,0,0,0,0,0,0,0
60,503,508,821.0,1,0,0,0,0,0,0,0,0,0
61,505,508,821.0,1,0,0,0,0,0,0,0,0,0
62,505,507,821.0,1,0,0,0,0,0,0,0,0,0
63,506,507,821.0,1,0,0,0,0,0,0,0,0,0
64,507,508,821.0,1,0,0,0,0,0,0,0,0,0
65,507,508,821.0,1,0,0,0,0,0,0,0,0,0
66,507,508,821.0,1,0,0,0,0,0,0,0,0,0
67,508,507,821.0,1,0,0,0,0,0,0,0,0,0
68,509,508,821.0,1,0,0,0,0,0,0,0,0,0
69,510,508,821.0,1,0,0,0,0,0,0,0,0,0
70,509,506,821.0,1,0,0,0,0,0,0,0,0,0
71,510,505,821.0,1,0,0,0,0,0,0,0,0,0
72,510,506,821.0,1,0,0,0,0,0,0,0,0,0
73,509,506,820.0,1,0,0,0,0,0,0,0,0,0
74,509,507,820.0,1,0,0,0,0,0,0,0,0,0
75,510,506,820.0,1,0,0,0,0,0,0,0,0,0
76,510,506,820.0,1,0,0,0,0,0,0,0,0,0
77,512,506,820.0,1,0,0,0,0,0,0,0,0,0
78,513,506,820.0,1,0,0,0,0,0,0,0,0,0
79,513,506,820.0,1,0,0,0,0,0,0,0,0,0
80,513,506,820.0,1,0,0,0,0,0,0,0,0,0
81,515,506,820.0,1,0,0,0,0,0,0,0,0,0
82,516,506,820.0,1,0,0,0,0,0,0,0,0,0
83,516,506,820.0,1,0,0,0,0,0,0,0,0,0
84,516,506,820.0,1,0,0,0,0,0,0,0,0,0
85,516,507,820.0,1,0,0,0,0,0,0,0,0,0
86,516,507,820.0,1,0,0,0,0,0,0,0,0,0
87,516,506,820.0,1,0,0,0,0,0,0,0,0,0
88,516,507,820.0,1,0,0,0,0,0,0,0,0,0
89,515,507,820.0,1,0,0,0,0,0,0,0,0,0
90,515,507,820.0,1,0,0,0,0,0,0,0,0,0
91,515,508,820.0,1,0,0,0,0,0,0,0,0,0
92,515,508,820.0,1,0,0,0,0,0,0,0,0,0
93,515,507,820.0,1,0,0,0,0,0,0,0,0,0
94,516,507,820.0,1,0,0,0,0,0,0,0,0,0
95,516,509,820.0,1,0,0,0,0,0,0,0,0,0
96,515,510,820.0,1,0,0,0,0,0,0,0,0,0
97,516,509,820.0,1,0,0,0,0,0,0,0,0,0
98,515,509,820.0,1,0,0,0,0,0,0,0,0,0
99,515,509,819.0,1,0,0,0,0,0,0,0,0,0
100,514,510,820.0,1,0,0,0,0,0,0,0,0,0
101,513,510,819.0,1,0,0,0,0,0,0,0,0,0
102,514,509,820.0,1,0,0,0,0,0,0,0,0,0
103,514,509,819.0,1,0,0,0,0,0,0,0,0,0
104,514,510,820.0,1,0,0,0,0,0,0,0,0,0
105,513,511,819.0,1,0,0,0,0,0,0,0,0,0
106,511,513,819.0,1,0,0,0,0,0,0,0,0,0
107,510,514,819.0,1,0,0,0,0,0,0,0,0,0
108,510,515,819.0,1,0,0,0,0,0,0,0,0,0
109,509,515,819.0,1,0,0,0,0,0,0,0,0,0
110,507,516,819.0,1,0,0,0,0,0,0,0,0,0
111,506,517,819.0,1,0,0,0,0,0,0,0,0,0
112,505,517,819.0,1,0,0,0,0,0,0,0,0,0
113,504,516,819.0,1,0,0,0,0,0,0,0,0,0
114,504,517,819.0,1,0,0,0,0,0,0,0,0,0
115,504,516,819.0,1,0,0,0,0,0,0,0,0,0
116,503,516,819.0,1,0,0,0,0,0,0,0,0,0
