TimeStamp,ECG Data,EMG Data,EDA Data,label
0,507,278,92.0,1
1,509,223,92.0,1
2,510,190,92.0,1
3,511,165,92.0,1
4,512,147,93.0,1
5,512,134,93.0,1
6,512,126,93.0,1
7,512,115,93.0,1
8,512,112,93.0,1
9,512,108,93.0,1
10,512,105,93.0,1
11,512,103,93.0,1
12,512,101,93.0,1
13,512,97,93.0,1
14,512,99,93.0,1
15,512,98,93.0,1
16,512,97,93.0,1
17,511,97,93.0,1
18,511,96,93.0,1
19,511,96,93.0,1
20,511,96,93.0,1
21,511,93,93.0,1
22,511,95,93.0,1
23,511,92,93.0,1
24,511,95,93.0,1
25,511,92,93.0,1
26,511,95,93.0,1
27,511,95,93.0,1
28,510,95,93.0,1
29,510,95,93.0,1
30,510,95,93.0,1
31,511,95,93.0,1
32,510,95,93.0,1
33,510,95,93.0,1
34,510,95,93.0,1
35,510,92,93.0,1
36,510,95,93.0,1
37,510,92,93.0,1
38,510,95,93.0,1
39,511,92,93.0,1
40,510,95,93.0,1
41,510,95,93.0,1
42,510,95,93.0,1
43,510,95,93.0,1
44,510,95,93.0,1
45,510,95,93.0,1
46,510,95,93.0,1
47,509,95,93.0,1
48,509,95,93.0,1
49,510,95,93.0,1
50,510,95,93.0,1
51,510,92,93.0,1
52,510,94,93.0,1
53,510,91,93.0,1
54,510,95,93.0,1
55,510,95,93.0,1
56,510,95,93.0,1
57,510,95,93.0,1
58,510,94,93.0,1
59,510,95,93.0,1
60,510,95,93.0,1
61,510,91,93.0,1
62,510,94,93.0,1
63,510,94,93.0,1
64,510,94,93.0,1
65,510,94,93.0,1
66,510,94,93.0,1
67,510,94,93.0,1
68,510,94,93.0,1
69,510,94,93.0,1
70,510,94,93.0,1
71,510,91,93.0,1
72,510,94,93.0,1
73,510,94,93.0,1
74,510,94,93.0,1
75,510,91,93.0,1
76,510,94,93.0,1
77,510,94,93.0,1
78,511,94,93.0,1
79,510,91,93.0,1
80,511,94,93.0,1
81,511,94,93.0,1
82,511,94,93.0,1
83,511,94,93.0,1
84,510,94,93.0,1
85,510,94,93.0,1
86,510,94,93.0,1
87,511,94,93.0,1
88,511,94,93.0,1
89,511,91,93.0,1
90,511,94,93.0,1
91,510,94,93.0,1
92,511,94,93.0,1
93,511,94,93.0,1
94,511,94,93.0,1
95,511,94,93.0,1
96,510,94,93.0,1
97,510,94,93.0,1
98,510,94,93.0,1
99,510,94,93.0,1
100,510,94,93.0,1
101,510,94,93.0,1
102,510,95,93.0,1
103,510,94,93.0,1
104,510,94,93.0,1
105,510,94,93.0,1
106,510,94,93.0,1
107,510,94,93.0,1
108,509,94,93.0,1
109,510,94,93.0,1
110,510,94,93.0,1
111,510,91,93.0,1
112,510,94,93.0,1
113,510,94,93.0,1
114,510,94,93.0,1
115,510,94,93.0,1
116,510,94,93.0,1
117,511,94,93.0,1
118,510,95,93.0,1
119,510,94,93.0,1
120,510,94,93.0,1
121,510,91,93.0,1
122,510,94,93.0,1
123,510,94,93.0,1
124,510,94,93.0,1
125,510,92,93.0,1
126,511,95,93.0,1
127,511,95,93.0,1
128,511,95,93.0,1
129,510,95,94.0,1
130,510,95,93.0,1
131,510,95,93.0,1
132,510,95,93.0,1
133,510,95,93.0,1
134,510,95,93.0,1
135,510,95,93.0,1
136,510,95,93.0,1
137,510,95,93.0,1
138,510,95,93.0,1
139,510,95,94.0,1
140,511,95,94.0,1
141,511,95,93.0,1
142,510,95,93.0,1
143,510,92,94.0,1
144,510,95,93.0,1
145,510,95,94.0,1
146,510,95,94.0,1
147,510,92,94.0,1
148,510,95,94.0,1
149,510,95,94.0,1
150,510,95,94.0,1
151,510,92,94.0,1
152,510,95,94.0,1
153,510,95,94.0,1
154,510,95,94.0,1
155,510,95,94.0,1
156,510,95,94.0,1
157,510,95,94.0,1
158,510,95,94.0,1
159,510,95,94.0,1
160,510,95,94.0,1
161,510,95,94.0,1
162,510,95,94.0,1
163,510,92,94.0,1
164,510,95,94.0,1
165,510,92,94.0,1
166,510,95,94.0,1
167,510,95,94.0,1
168,510,95,94.0,1
169,510,95,94.0,1
170,511,95,94.0,1
171,510,95,94.0,1
172,510,95,94.0,1
173,511,95,94.0,1
174,511,95,94.0,1
175,510,95,94.0,1
176,510,95,94.0,1
177,510,95,94.0,1
178,511,95,94.0,1
179,510,92,94.0,1
180,510,95,94.0,1
181,510,95,94.0,1
182,510,95,94.0,1
183,510,92,94.0,1
184,510,95,94.0,1
185,510,92,94.0,1
186,510,95,94.0,1
187,511,95,94.0,1
188,511,95,94.0,1
189,510,92,94.0,1
190,510,95,94.0,1
191,510,92,94.0,1
192,510,95,94.0,1
193,510,92,94.0,1
194,510,95,94.0,1
195,510,95,94.0,1
196,510,95,94.0,1
197,510,95,94.0,1
198,510,95,94.0,1
199,510,95,94.0,1
200,510,95,94.0,1
201,511,95,94.0,1
202,511,95,94.0,1
203,511,95,94.0,1
204,511,95,94.0,1
205,511,92,94.0,1
206,510,95,94.0,1
207,510,92,94.0,1
208,510,95,94.0,1
209,511,95,94.0,1
210,510,95,94.0,1
211,510,92,94.0,1
212,511,95,94.0,1
213,511,95,94.0,1
214,511,95,94.0,1
215,511,95,94.0,1
216,511,95,94.0,1
217,510,95,95.0,1
218,510,95,94.0,1
219,510,95,94.0,1
220,510,95,94.0,1
221,511,95,94.0,1
222,511,95,94.0,1
223,510,95,95.0,1
224,510,95,94.0,1
225,510,96,94.0,1
226,510,95,94.0,1
227,510,95,95.0,1
228,510,95,94.0,1
229,510,96,95.0,1
230,510,96,95.0,1
231,510,96,94.0,1
232,510,96,95.0,1
233,511,93,95.0,1
234,511,96,94.0,1
235,511,93,95.0,1
236,511,96,95.0,1
237,510,93,94.0,1
238,510,96,95.0,1
239,510,96,95.0,1
240,510,96,95.0,1
241,510,96,95.0,1
242,509,96,95.0,1
243,509,96,95.0,1
244,510,96,95.0,1
245,510,96,95.0,1
246,510,96,95.0,1
247,510,96,95.0,1
248,510,96,95.0,1
249,510,93,95.0,1
250,510,96,95.0,1
251,511,93,95.0,1
252,511,96,95.0,1
253,511,96,95.0,1
254,510,96,95.0,1
255,511,96,95.0,1
256,511,96,95.0,1
257,510,96,95.0,1
258,510,96,95.0,1
259,510,96,95.0,1
260,510,96,95.0,1
261,510,96,95.0,1
262,510,96,95.0,1
263,510,93,95.0,1
264,510,96,95.0,1
265,510,96,95.0,1
266,510,96,95.0,1
267,510,96,95.0,1
268,510,96,95.0,1
269,510,93,95.0,1
270,510,96,95.0,1
271,510,96,95.0,1
272,511,96,95.0,1
273,510,96,95.0,1
274,510,96,95.0,1
275,511,96,95.0,1
276,511,96,95.0,1
277,511,93,95.0,1
278,511,96,95.0,1
279,511,93,95.0,1
280,511,96,95.0,1
281,510,93,95.0,1
282,510,96,95.0,1
283,510,96,95.0,1
284,510,96,95.0,1
285,510,96,95.0,1
286,510,96,95.0,1
287,511,96,95.0,1
288,511,96,95.0,1
289,511,96,95.0,1
290,510,96,95.0,1
291,510,93,95.0,1
292,510,96,95.0,1
293,511,93,95.0,1
294,511,96,95.0,1
295,511,93,95.0,1
296,511,96,95.0,1
297,511,96,95.0,1
298,511,96,95.0,1
299,510,96,95.0,1
300,510,96,95.0,1
301,510,96,95.0,1
302,510,96,95.0,1
303,510,96,95.0,1
304,510,96,95.0,1
305,510,96,95.0,1
306,510,96,95.0,1
307,510,93,95.0,1
308,510,96,95.0,1
309,510,93,95.0,1
310,510,96,95.0,1
311,510,96,95.0,1
312,510,96,95.0,1
313,510,96,95.0,1
314,510,96,95.0,1
315,510,96,95.0,1
316,510,96,96.0,1
317,510,93,95.0,1
318,510,96,95.0,1
319,510,96,95.0,1
320,510,96,96.0,1
321,510,96,95.0,1
322,510,96,95.0,1
323,510,96,96.0,1
324,510,96,95.0,1
325,510,96,95.0,1
326,510,97,96.0,1
327,510,94,96.0,1
328,510,96,96.0,1
329,510,97,96.0,1
330,510,97,96.0,1
331,510,94,96.0,1
332,510,97,96.0,1
333,510,97,96.0,1
334,510,97,96.0,1
335,510,94,96.0,1
336,510,97,96.0,1
337,510,97,96.0,1
338,510,97,96.0,1
339,510,97,96.0,1
340,510,97,96.0,1
341,510,97,96.0,1
342,510,97,96.0,1
343,510,97,96.0,1
344,510,97,96.0,1
345,510,94,96.0,1
346,510,97,96.0,1
347,510,97,96.0,1
348,510,97,96.0,1
349,510,97,96.0,1
350,510,97,96.0,1
351,510,97,96.0,1
352,510,97,96.0,1
353,510,97,96.0,1
354,510,97,96.0,1
355,510,97,96.0,1
356,510,97,96.0,1
357,510,97,96.0,1
358,510,97,96.0,1
359,510,97,96.0,1
360,510,97,96.0,1
361,510,97,96.0,1
362,511,97,96.0,1
363,511,97,96.0,1
364,511,97,96.0,1
365,511,97,96.0,1
366,511,97,96.0,1
367,511,94,96.0,1
368,511,97,96.0,1
369,511,97,96.0,1
370,510,97,96.0,1
371,510,97,96.0,1
372,510,97,96.0,1
373,510,97,96.0,1
374,510,97,96.0,1
375,511,97,96.0,1
376,510,97,96.0,1
377,510,94,96.0,1
378,511,97,96.0,1
379,511,97,96.0,1
380,510,97,96.0,1
381,510,94,96.0,1
382,511,97,96.0,1
383,511,97,96.0,1
384,511,97,96.0,1
