TimeStamp,ECG Data,EMG Data,EDA Data,label
0,560,510,561.0,1
1,488,506,563.0,1
2,367,515,564.0,1
3,317,523,564.0,1
4,381,525,562.0,1
5,472,522,561.0,1
6,502,507,561.0,1
7,494,498,561.0,1
8,464,507,562.0,1
9,340,522,564.0,1
10,325,526,563.0,1
11,460,509,561.0,1
12,505,500,560.0,1
13,488,507,560.0,1
14,386,510,563.0,1
15,304,511,563.0,1
16,418,514,561.0,1
17,511,517,560.0,1
18,506,519,560.0,1
19,441,514,562.0,1
20,317,512,564.0,1
21,374,523,562.0,1
22,502,524,560.0,1
23,520,524,560.0,1
24,480,507,561.0,1
25,350,502,563.0,1
26,327,504,562.0,1
27,467,505,560.0,1
28,519,503,560.0,1
29,504,512,560.0,1
30,407,521,562.0,1
31,322,527,563.0,1
32,429,515,561.0,1
33,522,514,559.0,1
34,521,522,559.0,1
35,462,525,561.0,1
36,334,518,563.0,1
37,380,518,561.0,1
38,513,522,560.0,1
39,532,521,559.0,1
40,496,512,560.0,1
41,364,499,563.0,1
42,338,507,562.0,1
43,479,512,560.0,1
44,538,519,559.0,1
45,517,510,559.0,1
46,421,513,562.0,1
47,331,524,563.0,1
48,440,524,560.0,1
49,533,511,559.0,1
50,530,514,559.0,1
51,473,517,561.0,1
52,347,520,563.0,1
53,384,507,561.0,1
54,517,508,560.0,1
55,541,515,559.0,1
56,511,519,560.0,1
57,379,506,562.0,1
58,344,501,561.0,1
59,481,495,560.0,1
60,541,503,559.0,1
61,522,498,559.0,1
62,426,495,562.0,1
63,334,509,562.0,1
64,440,515,560.0,1
65,543,518,559.0,1
66,538,508,559.0,1
67,485,519,560.0,1
68,354,513,563.0,1
69,391,513,561.0,1
70,522,505,559.0,1
71,538,487,559.0,1
72,503,481,559.0,1
73,378,482,562.0,1
74,339,481,562.0,1
75,476,478,559.0,1
76,541,487,559.0,1
77,532,506,559.0,1
78,443,513,562.0,1
79,344,518,562.0,1
80,438,503,560.0,1
81,542,502,559.0,1
82,545,510,559.0,1
83,493,513,560.0,1
84,362,511,563.0,1
85,387,499,561.0,1
86,524,500,559.0,1
87,553,508,559.0,1
88,527,514,559.0,1
89,400,508,562.0,1
90,359,517,562.0,1
91,492,504,560.0,1
92,558,509,559.0,1
93,542,507,559.0,1
94,456,515,561.0,1
95,352,518,562.0,1
96,446,512,560.0,1
97,553,510,559.0,1
98,554,508,559.0,1
99,504,516,560.0,1
100,375,522,562.0,1
101,398,516,561.0,1
102,532,503,559.0,1
103,562,508,559.0,1
104,535,510,559.0,1
105,415,515,562.0,1
106,365,518,562.0,1
107,502,518,560.0,1
108,570,518,559.0,1
109,555,517,559.0,1
110,467,511,561.0,1
111,360,516,562.0,1
112,451,515,560.0,1
113,562,514,559.0,1
114,560,503,559.0,1
115,512,509,560.0,1
116,381,516,562.0,1
117,402,521,561.0,1
118,541,514,559.0,1
119,570,506,559.0,1
120,547,518,559.0,1
121,423,511,562.0,1
122,361,501,562.0,1
123,494,497,560.0,1
124,566,500,559.0,1
125,554,505,559.0,1
126,476,520,561.0,1
127,363,516,562.0,1
128,452,521,560.0,1
129,569,523,559.0,1
130,575,526,559.0,1
131,523,511,560.0,1
132,391,514,563.0,1
133,407,522,561.0,1
134,549,523,559.0,1
135,578,513,559.0,1
136,543,492,559.0,1
137,423,493,562.0,1
138,370,514,562.0,1
139,502,509,560.0,1
140,574,503,559.0,1
141,566,516,559.0,1
142,486,518,561.0,1
143,370,516,562.0,1
144,443,495,560.0,1
145,557,486,559.0,1
146,571,505,559.0,1
147,531,518,560.0,1
148,398,519,562.0,1
149,405,521,561.0,1
150,546,517,559.0,1
151,584,520,559.0,1
152,559,517,559.0,1
153,440,516,562.0,1
154,374,517,562.0,1
155,506,519,560.0,1
156,580,508,559.0,1
157,566,502,558.0,1
158,494,519,561.0,1
159,380,529,562.0,1
160,456,525,560.0,1
161,571,512,559.0,1
162,579,513,558.0,1
163,540,522,560.0,1
164,406,521,562.0,1
165,402,509,561.0,1
166,546,512,559.0,1
167,585,511,559.0,1
168,564,519,559.0,1
169,447,509,562.0,1
170,377,514,562.0,1
171,505,518,560.0,1
172,589,524,559.0,1
173,574,513,558.0,1
174,491,491,561.0,1
175,365,482,562.0,1
176,433,476,560.0,1
177,555,475,559.0,1
178,565,476,558.0,1
179,524,477,560.0,1
180,391,480,562.0,1
181,386,481,561.0,1
182,531,484,559.0,1
183,573,484,558.0,1
184,551,485,559.0,1
185,439,486,562.0,1
186,362,488,562.0,1
187,485,482,560.0,1
188,570,483,559.0,1
189,565,491,558.0,1
190,497,501,561.0,1
191,380,513,562.0,1
192,450,522,560.0,1
193,575,517,559.0,1
194,586,516,558.0,1
195,548,518,560.0,1
196,418,528,562.0,1
197,409,531,561.0,1
198,551,527,559.0,1
199,597,527,559.0,1
200,576,530,559.0,1
201,468,531,562.0,1
202,388,533,562.0,1
203,503,514,560.0,1
204,590,511,559.0,1
205,581,512,559.0,1
206,517,524,561.0,1
207,388,515,562.0,1
208,451,519,560.0,1
209,582,524,559.0,1
210,596,527,559.0,1
211,553,512,559.0,1
212,413,495,562.0,1
213,393,488,561.0,1
214,533,483,559.0,1
215,582,485,559.0,1
216,563,491,559.0,1
217,461,498,561.0,1
218,377,503,562.0,1
219,498,512,560.0,1
220,590,511,559.0,1
221,587,521,559.0,1
222,523,524,561.0,1
223,398,528,563.0,1
224,450,521,561.0,1
225,581,521,559.0,1
226,598,525,559.0,1
227,563,524,559.0,1
228,429,521,562.0,1
229,403,510,561.0,1
230,546,511,560.0,1
231,599,516,559.0,1
232,578,513,559.0,1
233,472,505,562.0,1
234,384,513,562.0,1
235,499,515,560.0,1
236,594,515,559.0,1
237,586,509,559.0,1
238,522,505,561.0,1
239,397,516,562.0,1
240,449,522,561.0,1
241,578,513,559.0,1
242,595,511,559.0,1
243,565,522,560.0,1
244,434,523,562.0,1
245,403,513,562.0,1
246,544,512,560.0,1
247,601,515,559.0,1
248,580,513,559.0,1
249,476,506,562.0,1
250,382,505,562.0,1
251,498,518,560.0,1
252,599,523,559.0,1
253,594,523,559.0,1
254,528,508,561.0,1
255,399,512,563.0,1
256,442,509,561.0,1
257,580,519,559.0,1
258,597,511,559.0,1
259,563,509,560.0,1
260,434,507,562.0,1
261,400,508,562.0,1
262,541,506,559.0,1
263,599,506,559.0,1
264,586,521,559.0,1
265,491,523,562.0,1
266,390,518,562.0,1
267,491,502,560.0,1
268,596,514,559.0,1
269,597,525,559.0,1
270,541,527,561.0,1
271,401,508,563.0,1
272,435,497,561.0,1
273,574,505,559.0,1
274,601,514,559.0,1
275,572,519,560.0,1
276,446,526,562.0,1
277,405,524,562.0,1
278,541,511,560.0,1
279,598,501,559.0,1
280,579,497,559.0,1
281,487,502,562.0,1
282,391,520,562.0,1
283,492,518,560.0,1
284,594,507,559.0,1
285,594,514,559.0,1
286,541,517,561.0,1
287,406,512,563.0,1
288,433,502,561.0,1
289,571,503,559.0,1
290,600,512,559.0,1
291,572,516,559.0,1
292,444,511,562.0,1
293,398,510,562.0,1
294,541,519,560.0,1
295,607,525,559.0,1
296,589,520,559.0,1
297,496,513,562.0,1
298,390,513,563.0,1
299,489,516,560.0,1
300,598,519,559.0,1
301,599,522,559.0,1
302,548,526,561.0,1
303,416,528,563.0,1
304,441,526,561.0,1
305,578,519,559.0,1
306,607,522,559.0,1
307,578,523,560.0,1
308,454,523,562.0,1
309,399,512,562.0,1
310,533,503,560.0,1
311,598,497,559.0,1
312,580,493,559.0,1
313,492,494,562.0,1
314,387,506,563.0,1
315,485,517,560.0,1
316,598,520,559.0,1
317,600,521,559.0,1
318,545,507,560.0,1
319,415,518,563.0,1
320,437,524,561.0,1
321,578,523,559.0,1
322,603,510,559.0,1
323,576,512,559.0,1
324,455,515,562.0,1
325,400,518,562.0,1
326,531,505,560.0,1
327,603,507,559.0,1
328,592,517,559.0,1
329,505,511,561.0,1
330,394,516,563.0,1
331,477,500,560.0,1
332,594,510,559.0,1
333,602,520,559.0,1
334,554,520,560.0,1
335,413,504,563.0,1
336,428,507,561.0,1
337,571,512,560.0,1
338,605,513,559.0,1
339,577,509,559.0,1
340,458,512,562.0,1
341,391,500,562.0,1
342,523,496,560.0,1
343,595,491,559.0,1
344,583,497,559.0,1
345,504,500,561.0,1
346,396,518,563.0,1
347,478,513,560.0,1
348,592,507,559.0,1
349,599,512,559.0,1
350,554,515,560.0,1
351,419,516,563.0,1
352,418,495,561.0,1
353,555,483,560.0,1
354,590,481,559.0,1
355,565,482,559.0,1
356,449,491,562.0,1
357,386,498,562.0,1
358,523,510,560.0,1
359,605,518,559.0,1
360,592,514,559.0,1
361,512,506,561.0,1
362,400,522,563.0,1
363,478,521,560.0,1
364,596,516,559.0,1
365,599,506,559.0,1
366,557,515,560.0,1
367,424,520,563.0,1
368,426,520,561.0,1
369,562,502,559.0,1
370,604,511,559.0,1
371,581,512,559.0,1
372,462,504,562.0,1
373,388,501,562.0,1
374,515,496,560.0,1
375,599,504,559.0,1
376,589,506,559.0,1
377,514,508,561.0,1
378,394,510,563.0,1
379,469,517,560.0,1
380,594,523,559.0,1
381,604,523,559.0,1
382,557,509,560.0,1
383,427,521,563.0,1
384,423,521,561.0,1
