TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,521,504,720.0,1,0,0,0,0,0,0,0,0,0
1,520,506,720.0,1,0,0,0,0,0,0,0,0,0
2,519,507,720.0,1,0,0,0,0,0,0,0,0,0
3,518,508,720.0,1,0,0,0,0,0,0,0,0,0
4,517,508,720.0,1,0,0,0,0,0,0,0,0,0
5,517,508,720.0,1,0,0,0,0,0,0,0,0,0
6,515,508,719.0,1,0,0,0,0,0,0,0,0,0
7,513,509,719.0,1,0,0,0,0,0,0,0,0,0
8,511,509,719.0,1,0,0,0,0,0,0,0,0,0
9,508,509,719.0,1,0,0,0,0,0,0,0,0,0
10,505,510,719.0,1,0,0,0,0,0,0,0,0,0
11,503,511,719.0,1,0,0,0,0,0,0,0,0,0
12,502,512,719.0,1,0,0,0,0,0,0,0,0,0
13,501,512,718.0,1,0,0,0,0,0,0,0,0,0
14,501,512,718.0,1,0,0,0,0,0,0,0,0,0
15,501,512,718.0,1,0,0,0,0,0,0,0,0,0
16,501,513,718.0,1,0,0,0,0,0,0,0,0,0
17,501,513,718.0,1,0,0,0,0,0,0,0,0,0
18,502,513,717.0,1,0,0,0,0,0,0,0,0,0
19,502,512,717.0,1,0,0,0,0,0,0,0,0,0
20,503,512,717.0,1,0,0,0,0,0,0,0,0,0
21,502,513,717.0,1,0,0,0,0,0,0,0,0,0
22,503,513,717.0,1,0,0,0,0,0,0,0,0,0
23,503,513,717.0,1,0,0,0,0,0,0,0,0,0
24,503,513,717.0,1,0,0,0,0,0,0,0,0,0
25,501,513,717.0,1,0,0,0,0,0,0,0,0,0
26,496,512,716.0,1,0,0,0,0,0,0,0,0,0
27,490,512,716.0,1,0,0,0,0,0,0,0,0,0
28,489,512,716.0,1,0,0,0,0,0,0,0,0,0
29,498,510,716.0,1,0,0,0,0,0,0,0,0,0
30,510,506,716.0,1,0,0,0,0,0,0,0,0,0
31,528,501,716.0,1,0,0,0,0,0,0,0,0,0
32,559,496,716.0,1,0,0,0,0,0,0,0,0,0
33,602,492,716.0,1,0,0,0,0,0,0,0,0,0
34,653,489,716.0,1,0,0,0,0,0,0,0,0,0
35,689,489,716.0,1,0,0,0,0,0,0,0,0,0
36,677,494,716.0,1,0,0,0,0,0,0,0,0,0
37,641,503,715.0,1,0,0,0,0,0,0,0,0,0
