TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,498,503,769.0,1,0,0,0,0,0,0,0,0,0
1,500,504,769.0,1,0,0,0,0,0,0,0,0,0
2,502,508,768.0,1,0,0,0,0,0,0,0,0,0
3,503,513,768.0,1,0,0,0,0,0,0,0,0,0
4,505,520,768.0,1,0,0,0,0,0,0,0,0,0
5,506,528,768.0,1,0,0,0,0,0,0,0,0,0
6,507,536,768.0,1,0,0,0,0,0,0,0,0,0
7,508,543,768.0,1,0,0,0,0,0,0,0,0,0
8,508,551,767.0,1,0,0,0,0,0,0,0,0,0
9,509,558,767.0,1,0,0,0,0,0,0,0,0,0
10,509,566,767.0,1,0,0,0,0,0,0,0,0,0
11,509,573,767.0,1,0,0,0,0,0,0,0,0,0
12,509,579,766.0,1,0,0,0,0,0,0,0,0,0
13,510,584,766.0,1,0,0,0,0,0,0,0,0,0
14,510,586,766.0,1,0,0,0,0,0,0,0,0,0
15,510,589,766.0,1,0,0,0,0,0,0,0,0,0
16,510,592,765.0,1,0,0,0,0,0,0,0,0,0
17,510,593,765.0,1,0,0,0,0,0,0,0,0,0
18,510,593,765.0,1,0,0,0,0,0,0,0,0,0
19,511,593,765.0,1,0,0,0,0,0,0,0,0,0
20,511,594,765.0,1,0,0,0,0,0,0,0,0,0
21,511,594,764.0,1,0,0,0,0,0,0,0,0,0
22,512,593,764.0,1,0,0,0,0,0,0,0,0,0
23,511,593,764.0,1,0,0,0,0,0,0,0,0,0
24,511,591,764.0,1,0,0,0,0,0,0,0,0,0
25,512,589,764.0,1,0,0,0,0,0,0,0,0,0
26,512,587,763.0,1,0,0,0,0,0,0,0,0,0
27,512,585,763.0,1,0,0,0,0,0,0,0,0,0
28,512,584,763.0,1,0,0,0,0,0,0,0,0,0
29,513,582,763.0,1,0,0,0,0,0,0,0,0,0
30,514,579,763.0,1,0,0,0,0,0,0,0,0,0
31,514,576,763.0,1,0,0,0,0,0,0,0,0,0
32,514,574,763.0,1,0,0,0,0,0,0,0,0,0
