TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,512,507,869.0,1,0,0,0,0,0,0,0,0,0
1,512,509,868.0,1,0,0,0,0,0,0,0,0,0
2,513,512,867.0,1,0,0,0,0,0,0,0,0,0
3,512,514,867.0,1,0,0,0,0,0,0,0,0,0
4,511,516,867.0,1,0,0,0,0,0,0,0,0,0
5,511,517,867.0,1,0,0,0,0,0,0,0,0,0
6,511,517,867.0,1,0,0,0,0,0,0,0,0,0
7,510,517,866.0,1,0,0,0,0,0,0,0,0,0
8,509,517,866.0,1,0,0,0,0,0,0,0,0,0
9,508,517,866.0,1,0,0,0,0,0,0,0,0,0
10,507,518,865.0,1,0,0,0,0,0,0,0,0,0
11,506,518,865.0,1,0,0,0,0,0,0,0,0,0
12,505,518,865.0,1,0,0,0,0,0,0,0,0,0
13,504,519,865.0,1,0,0,0,0,0,0,0,0,0
14,503,518,864.0,1,0,0,0,0,0,0,0,0,0
15,502,518,864.0,1,0,0,0,0,0,0,0,0,0
16,502,518,864.0,1,0,0,0,0,0,0,0,0,0
17,502,518,863.0,1,0,0,0,0,0,0,0,0,0
18,501,518,863.0,1,0,0,0,0,0,0,0,0,0
19,501,517,863.0,1,0,0,0,0,0,0,0,0,0
20,500,516,863.0,1,0,0,0,0,0,0,0,0,0
21,501,516,862.0,1,0,0,0,0,0,0,0,0,0
22,501,516,862.0,1,0,0,0,0,0,0,0,0,0
23,500,515,862.0,1,0,0,0,0,0,0,0,0,0
24,500,515,862.0,1,0,0,0,0,0,0,0,0,0
25,501,515,862.0,1,0,0,0,0,0,0,0,0,0
26,501,514,861.0,1,0,0,0,0,0,0,0,0,0
27,501,514,861.0,1,0,0,0,0,0,0,0,0,0
28,501,514,861.0,1,0,0,0,0,0,0,0,0,0
29,501,514,861.0,1,0,0,0,0,0,0,0,0,0
30,501,513,860.0,1,0,0,0,0,0,0,0,0,0
31,502,513,860.0,1,0,0,0,0,0,0,0,0,0
32,502,512,860.0,1,0,0,0,0,0,0,0,0,0
33,502,512,860.0,1,0,0,0,0,0,0,0,0,0
34,502,512,860.0,1,0,0,0,0,0,0,0,0,0
35,503,512,860.0,1,0,0,0,0,0,0,0,0,0
36,504,512,860.0,1,0,0,0,0,0,0,0,0,0
37,503,512,859.0,1,0,0,0,0,0,0,0,0,0
38,504,511,859.0,1,0,0,0,0,0,0,0,0,0
39,505,511,859.0,1,0,0,0,0,0,0,0,0,0
40,505,511,859.0,1,0,0,0,0,0,0,0,0,0
41,505,511,859.0,1,0,0,0,0,0,0,0,0,0
42,506,511,859.0,1,0,0,0,0,0,0,0,0,0
