TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation
0,508,512,701.0,1,0,0,0,0,0,0,0,0,0
1,509,514,700.0,1,0,0,0,0,0,0,0,0,0
2,508,519,700.0,1,0,0,0,0,0,0,0,0,0
3,509,527,700.0,1,0,0,0,0,0,0,0,0,0
4,509,537,700.0,1,0,0,0,0,0,0,0,0,0
5,510,548,700.0,1,0,0,0,0,0,0,0,0,0
6,511,560,700.0,1,0,0,0,0,0,0,0,0,0
7,512,572,700.0,1,0,0,0,0,0,0,0,0,0
8,513,585,699.0,1,0,0,0,0,0,0,0,0,0
9,517,598,699.0,1,0,0,0,0,0,0,0,0,0
10,521,610,699.0,1,0,0,0,0,0,0,0,0,0
11,525,619,699.0,1,0,0,0,0,0,0,0,0,0
12,527,627,698.0,1,0,0,0,0,0,0,0,0,0
13,529,633,698.0,1,0,0,0,0,0,0,0,0,0
14,532,638,698.0,1,0,0,0,0,0,0,0,0,0
15,536,641,698.0,1,0,0,0,0,0,0,0,0,0
16,539,644,698.0,1,0,0,0,0,0,0,0,0,0
17,542,646,698.0,1,0,0,0,0,0,0,0,0,0
18,545,648,698.0,1,0,0,0,0,0,0,0,0,0
19,549,647,698.0,1,0,0,0,0,0,0,0,0,0
20,555,646,697.0,1,0,0,0,0,0,0,0,0,0
21,559,645,697.0,1,0,0,0,0,0,0,0,0,0
22,559,644,697.0,1,0,0,0,0,0,0,0,0,0
23,558,644,697.0,1,0,0,0,0,0,0,0,0,0
24,556,642,697.0,1,0,0,0,0,0,0,0,0,0
25,555,639,697.0,1,0,0,0,0,0,0,0,0,0
26,555,637,697.0,1,0,0,0,0,0,0,0,0,0
27,554,634,697.0,1,0,0,0,0,0,0,0,0,0
28,552,630,697.0,1,0,0,0,0,0,0,0,0,0
29,550,627,697.0,1,0,0,0,0,0,0,0,0,0
30,548,624,696.0,1,0,0,0,0,0,0,0,0,0
31,545,621,696.0,1,0,0,0,0,0,0,0,0,0
32,544,618,696.0,1,0,0,0,0,0,0,0,0,0
33,543,614,696.0,1,0,0,0,0,0,0,0,0,0
34,541,611,696.0,1,0,0,0,0,0,0,0,0,0
35,541,607,696.0,1,0,0,0,0,0,0,0,0,0
36,540,604,696.0,1,0,0,0,0,0,0,0,0,0
37,539,600,696.0,1,0,0,0,0,0,0,0,0,0
38,538,596,696.0,1,0,0,0,0,0,0,0,0,0
39,537,591,696.0,1,0,0,0,0,0,0,0,0,0
40,536,587,696.0,1,0,0,0,0,0,0,0,0,0
41,535,584,696.0,1,0,0,0,0,0,0,0,0,0
42,534,581,696.0,1,0,0,0,0,0,0,0,0,0
43,533,576,696.0,1,0,0,0,0,0,0,0,0,0
44,533,573,696.0,1,0,0,0,0,0,0,0,0,0
45,534,568,696.0,1,0,0,0,0,0,0,0,0,0
46,540,564,696.0,1,0,0,0,0,0,0,0,0,0
47,547,560,696.0,1,0,0,0,0,0,0,0,0,0
48,559,555,696.0,1,0,0,0,0,0,0,0,0,0
49,574,549,696.0,1,0,0,0,0,0,0,0,0,0
50,595,541,696.0,1,0,0,0,0,0,0,0,0,0
51,621,530,696.0,1,0,0,0,0,0,0,0,0,0
52,638,523,696.0,1,0,0,0,0,0,0,0,0,0
53,633,522,696.0,1,0,0,0,0,0,0,0,0,0
54,609,525,696.0,1,0,0,0,0,0,0,0,0,0
55,573,531,696.0,1,0,0,0,0,0,0,0,0,0
56,537,538,696.0,1,0,0,0,0,0,0,0,0,0
57,511,542,696.0,1,0,0,0,0,0,0,0,0,0
58,496,543,696.0,1,0,0,0,0,0,0,0,0,0
59,487,543,696.0,1,0,0,0,0,0,0,0,0,0
60,480,540,696.0,1,0,0,0,0,0,0,0,0,0
61,480,536,696.0,1,0,0,0,0,0,0,0,0,0
62,486,532,696.0,1,0,0,0,0,0,0,0,0,0
63,492,528,696.0,1,0,0,0,0,0,0,0,0,0
64,495,525,696.0,1,0,0,0,0,0,0,0,0,0
65,496,522,696.0,1,0,0,0,0,0,0,0,0,0
66,497,520,696.0,1,0,0,0,0,0,0,0,0,0
67,497,520,696.0,1,0,0,0,0,0,0,0,0,0
68,497,519,696.0,1,0,0,0,0,0,0,0,0,0
69,497,517,696.0,1,0,0,0,0,0,0,0,0,0
70,497,513,696.0,1,0,0,0,0,0,0,0,0,0
71,497,509,696.0,1,0,0,0,0,0,0,0,0,0
72,497,507,696.0,1,0,0,0,0,0,0,0,0,0
73,497,506,696.0,1,0,0,0,0,0,0,0,0,0
74,497,504,696.0,1,0,0,0,0,0,0,0,0,0
75,498,502,696.0,1,0,0,0,0,0,0,0,0,0
76,498,501,696.0,1,0,0,0,0,0,0,0,0,0
77,498,500,696.0,1,0,0,0,0,0,0,0,0,0
78,498,499,697.0,1,0,0,0,0,0,0,0,0,0
79,499,499,697.0,1,0,0,0,0,0,0,0,0,0
80,500,497,697.0,1,0,0,0,0,0,0,0,0,0
81,500,495,697.0,1,0,0,0,0,0,0,0,0,0
82,500,495,697.0,1,0,0,0,0,0,0,0,0,0
83,500,495,697.0,1,0,0,0,0,0,0,0,0,0
84,500,493,697.0,1,0,0,0,0,0,0,0,0,0
85,501,493,697.0,1,0,0,0,0,0,0,0,0,0
86,500,492,697.0,1,0,0,0,0,0,0,0,0,0
87,500,490,697.0,1,0,0,0,0,0,0,0,0,0
88,501,489,697.0,1,0,0,0,0,0,0,0,0,0
89,501,487,697.0,1,0,0,0,0,0,0,0,0,0
90,501,486,697.0,1,0,0,0,0,0,0,0,0,0
91,502,485,697.0,1,0,0,0,0,0,0,0,0,0
92,503,484,697.0,1,0,0,0,0,0,0,0,0,0
93,503,484,697.0,1,0,0,0,0,0,0,0,0,0
94,503,484,697.0,1,0,0,0,0,0,0,0,0,0
95,504,483,697.0,1,0,0,0,0,0,0,0,0,0
