TimeStamp,ECG Data,EMG Data,EDA Data,label
0,502,512,529.0,1
1,502,513,528.0,1
2,502,512,528.0,1
3,505,513,528.0,1
4,509,514,529.0,1
5,515,514,530.0,1
6,516,513,531.0,1
7,513,513,529.0,1
8,505,509,528.0,1
9,507,510,528.0,1
10,510,509,528.0,1
11,517,510,530.0,1
12,517,508,530.0,1
13,510,506,528.0,1
14,513,510,528.0,1
15,517,511,528.0,1
16,522,510,530.0,1
17,522,507,530.0,1
18,524,511,529.0,1
19,523,513,528.0,1
20,524,513,528.0,1
21,520,507,528.0,1
22,523,505,530.0,1
23,524,508,529.0,1
24,520,509,528.0,1
25,517,507,527.0,1
26,520,508,528.0,1
27,528,511,530.0,1
28,531,512,530.0,1
29,522,509,528.0,1
30,520,510,527.0,1
31,523,512,527.0,1
32,525,512,529.0,1
33,528,513,530.0,1
34,523,513,528.0,1
35,517,513,527.0,1
36,515,513,527.0,1
37,515,513,528.0,1
38,517,513,530.0,1
39,514,513,529.0,1
40,505,513,527.0,1
41,502,513,527.0,1
42,500,511,527.0,1
43,504,512,529.0,1
44,503,511,529.0,1
45,496,511,528.0,1
46,486,505,527.0,1
47,489,508,527.0,1
48,492,507,528.0,1
49,494,505,529.0,1
50,489,505,528.0,1
51,489,509,527.0,1
52,495,512,527.0,1
53,499,514,528.0,1
54,503,512,530.0,1
55,498,508,528.0,1
56,495,509,527.0,1
57,498,512,527.0,1
58,501,512,527.0,1
59,502,508,529.0,1
60,504,508,529.0,1
61,500,509,527.0,1
62,499,510,527.0,1
63,498,508,527.0,1
64,503,509,528.0,1
65,511,511,529.0,1
66,510,512,528.0,1
67,501,510,527.0,1
68,500,509,526.0,1
69,504,509,527.0,1
70,511,511,529.0,1
71,510,510,528.0,1
72,501,508,527.0,1
73,502,510,527.0,1
74,505,511,527.0,1
75,510,511,529.0,1
76,507,508,529.0,1
77,502,509,527.0,1
78,501,511,527.0,1
79,503,511,526.0,1
80,504,509,528.0,1
81,508,509,529.0,1
82,509,512,528.0,1
83,505,513,527.0,1
84,498,507,526.0,1
85,493,501,527.0,1
86,502,504,529.0,1
87,509,509,528.0,1
88,502,509,527.0,1
89,494,504,526.0,1
90,495,503,526.0,1
91,505,506,528.0,1
92,507,506,529.0,1
93,494,501,527.0,1
94,488,499,526.0,1
95,489,499,526.0,1
96,493,499,528.0,1
97,497,499,529.0,1
98,496,500,528.0,1
99,497,504,527.0,1
100,497,505,526.0,1
101,503,508,527.0,1
102,510,509,529.0,1
103,512,510,528.0,1
104,505,510,527.0,1
105,504,511,526.0,1
106,506,510,526.0,1
107,510,510,528.0,1
108,514,511,529.0,1
109,509,511,527.0,1
110,502,508,527.0,1
111,499,506,526.0,1
112,501,505,528.0,1
113,507,506,529.0,1
114,504,506,528.0,1
115,501,505,527.0,1
116,509,509,526.0,1
117,516,510,527.0,1
118,520,508,529.0,1
119,523,509,528.0,1
120,522,512,527.0,1
121,520,512,527.0,1
122,521,510,526.0,1
123,526,506,528.0,1
124,539,508,529.0,1
125,541,511,527.0,1
126,537,511,527.0,1
127,533,508,526.0,1
128,536,509,527.0,1
129,541,512,529.0,1
130,538,514,528.0,1
131,526,512,527.0,1
132,521,512,526.0,1
133,519,514,527.0,1
134,517,514,529.0,1
135,510,512,528.0,1
136,498,510,527.0,1
137,495,512,526.0,1
138,495,512,526.0,1
139,496,512,528.0,1
140,501,513,529.0,1
141,497,514,527.0,1
142,493,514,526.0,1
143,489,511,526.0,1
144,486,506,527.0,1
145,490,505,529.0,1
146,489,506,528.0,1
147,481,505,527.0,1
148,476,504,526.0,1
149,477,502,526.0,1
150,490,503,529.0,1
151,509,507,528.0,1
152,526,507,527.0,1
153,556,506,526.0,1
154,605,505,526.0,1
155,666,508,528.0,1
156,720,509,529.0,1
157,739,504,527.0,1
158,718,503,527.0,1
159,656,504,526.0,1
160,589,508,527.0,1
161,533,506,529.0,1
162,484,507,528.0,1
163,458,509,527.0,1
164,455,509,526.0,1
165,453,508,527.0,1
166,455,508,529.0,1
167,457,512,529.0,1
168,449,511,527.0,1
169,447,512,527.0,1
170,445,509,526.0,1
171,452,510,528.0,1
172,459,511,529.0,1
173,458,512,527.0,1
174,451,509,526.0,1
175,450,507,526.0,1
176,455,506,527.0,1
177,463,506,529.0,1
178,464,507,528.0,1
179,459,504,527.0,1
180,463,508,526.0,1
181,472,511,526.0,1
182,480,511,528.0,1
183,483,511,528.0,1
184,480,511,527.0,1
